"","Grain","Time Period","Linear_AIC","Linear_Pvals","2_AIC","2_Pvals","3_AIC","3_Pvals","Log_AIC","Log_Pvals","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","12627.847855985","TRUE","12578.503185512","TRUE","12554.9619389456","TRUE","12941.1981917395","TRUE","-204.140875969543","TRUE","-209.927537838041","TRUE","-228.504862359561","TRUE","-104.588082707559","TRUE",0.25
"2","sorghum","p_grow","12497.3530400154","TRUE","12492.078934135","TRUE","12317.0769416945","TRUE","12691.0938474185","TRUE","323.118524786093","TRUE","305.554731851451","TRUE","165.058622415277","TRUE","324.096288887693","TRUE",0.25
"3","sorghum","p_harv","12170.67466214","TRUE","12046.3356668971","TRUE","11930.8205546225","TRUE","12115.7681654649","TRUE","117.946859405798","TRUE","-7.22276350380614","TRUE","-45.1307514295714","TRUE","41.4254826088575","TRUE",0.25
"4","sorghum","p_sup","13655.3213537339","FALSE","13657.0830137639","FALSE","13651.8248887948","TRUE","13629.8976019561","TRUE","456.707814311829","FALSE","451.382813076493","TRUE","435.90090697519","TRUE","378.943601504569","TRUE",0.25
"5","sorghum","p_onemonth","14852.2009441691","TRUE","14854.1999608083","FALSE","14833.7125224104","TRUE","14839.4422095363","TRUE","432.879426317451","FALSE","418.340777524865","TRUE","382.945505604137","TRUE","380.824123600631","TRUE",0.25
"6","millet","p_sow","10568.8000642147","TRUE","10527.3312245508","TRUE","10527.7959996792","FALSE","10552.1759265022","TRUE","-415.381048139347","TRUE","-571.425195323715","TRUE","-596.01233729033","TRUE","-455.011341001062","TRUE",0.25
"7","millet","p_grow","12455.3639916162","FALSE","12448.6052683735","TRUE","12447.2338718356","FALSE","12453.8994002309","FALSE","-248.885112004813","TRUE","-247.903522808009","FALSE","-247.412687584366","FALSE","-250.908301520894","TRUE",0.25
"8","millet","p_harv","12311.016920292","TRUE","12305.5695733574","TRUE","12307.1843917906","FALSE","12307.6960540176","TRUE","-198.353131651912","TRUE","-231.844698981257","TRUE","-239.268636676926","TRUE","-253.640467590916","TRUE",0.25
"9","millet","p_sup","14054.2788026525","FALSE","14049.2444529883","TRUE","14050.9515318704","FALSE","14053.080280261","FALSE","-192.015001306965","FALSE","-197.542872900381","TRUE","-195.58916340964","FALSE","-196.165746100973","TRUE",0.25
"10","millet","p_onemonth","13760.4222791048","FALSE","13757.9551611769","TRUE","13758.0063794241","FALSE","13753.8894569276","TRUE","-193.460644612403","FALSE","-194.531368458959","FALSE","-193.022858398665","FALSE","-192.566807254203","FALSE",0.25
"11","maize","p_sow","21842.6123512744","TRUE","21760.3506583002","TRUE","21762.1917717453","FALSE","21734.4480021176","TRUE","-2729.546494539","TRUE","-2776.12533294132","TRUE","-2774.4617072143","FALSE","-2824.41972517323","TRUE",0.25
"12","maize","p_grow","21879.9987673529","TRUE","21881.8891751919","FALSE","21883.4485769361","FALSE","21900.5495430594","TRUE","-3028.47372675925","FALSE","-3031.01125565981","TRUE","-3029.99028412337","FALSE","-3031.73707942902","FALSE",0.25
"13","maize","p_harv","23499.4733943294","TRUE","23498.9811393963","FALSE","23462.3707145934","TRUE","23459.611782098","TRUE","-2826.60175743986","TRUE","-2826.90494527831","FALSE","-2896.72364912617","TRUE","-2890.50552351757","TRUE",0.25
"14","maize","p_sup","25924.4525869586","TRUE","25922.3763256256","FALSE","25924.2551652083","FALSE","25952.7780236385","FALSE","-3182.97905815474","TRUE","-3184.23626762855","FALSE","-3182.60261302933","FALSE","-3140.87962393877","FALSE",0.25
"15","maize","p_onemonth","31656.4142174742","FALSE","31657.0601676946","FALSE","31657.0754097967","FALSE","31658.8929314969","FALSE","-3607.36423273477","FALSE","-3605.37072943439","FALSE","-3612.89762067528","TRUE","-3608.97420023561","FALSE",0.25
"16","sorghum","p_sow","12667.0017314572","TRUE","12639.5314304565","TRUE","12481.8614944047","TRUE","12938.3412389055","TRUE","-150.902127280978","TRUE","-170.477474673077","TRUE","-257.393020995787","TRUE","-153.325917752257","TRUE",1
"17","sorghum","p_grow","12495.1978503096","TRUE","12496.4974154772","FALSE","12451.8552737475","TRUE","12682.1458879759","TRUE","317.580818763856","TRUE","319.578515981295","FALSE","302.606835669314","TRUE","304.330063581946","TRUE",1
"18","sorghum","p_harv","12174.1484616637","FALSE","12103.9026468415","TRUE","11977.5093293799","TRUE","12153.2853762616","TRUE","115.016825130308","TRUE","19.1550720451606","TRUE","-55.0582992118264","TRUE","74.9099577448837","TRUE",1
"19","sorghum","p_sup","13658.5290058089","FALSE","13660.2221829494","FALSE","13652.7297055624","TRUE","13627.4281031554","TRUE","456.76229109724","FALSE","452.196898412211","TRUE","432.455272025372","TRUE","366.533511206074","TRUE",1
"20","sorghum","p_onemonth","14857.357031201","FALSE","14859.3303042304","FALSE","14819.5751668616","TRUE","14835.1514330692","TRUE","432.619243715885","FALSE","421.185724343843","TRUE","354.994703587023","TRUE","368.690488179365","TRUE",1
"21","millet","p_sow","10577.0781513214","TRUE","10500.3645864435","TRUE","10497.7188825421","FALSE","10562.5263187986","TRUE","-405.632436092189","TRUE","-700.277809810568","TRUE","-702.600377678894","FALSE","-444.191091579332","TRUE",1
