Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,56.92388366,58.9735405,60.79716724,63.20948755,66.88558572,70.63929086,73.31833882,77.20165977,82.06779437,84.83400415,87.61673822,90.86345529,96.83240708,98.96260467,100,105.6290579,110.411388,112.7279419,115.1752231,119.0137776,122.5190851,129.8087342,136.3937731,138.7493922,137.8099839,142.0921544,143.2133838,139.9878825,142.4752178,145.3832227,143.2718476,144.2554461,
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,111.6552382,124.2403826,137.7984541,147.7196001,180.9975115,184.791742,180.7939492,187.6905701,218.8347171,234.8134952,246.1380464,247.5335126,253.5920513,266.5321256,271.7234321,
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.29E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,5.00E-08,4.55E-08,4.99E-08,5.10E-08,5.93E-08,6.77E-08,1.40E-07,8.05E-07,8.19E-06,0.000186402,0.00358917,0.175888394,0.343779182,0.479088428,3.150011748,16.31765909,33.67183637,100.000002,193.9268583,258.7763461,368.4342735,431.503212,450.0941634,537.2770455,447.2235991,588.9450421,776.0619681,832.3707761,856.0079766,886.4889038,855.2987645,1041.534079,1277.071853,
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.879567177,4.775165325,4.774319209,4.773519263,4.772165481,4.788926392,4.673163654,4.67314935,4.673122312,4.673294244,4.65313511,6.44777198,21.47307353,48.43622115,65.7987033,72.37353328,100,111.2396644,118.7264217,121.2239232,128.0654791,132.9499387,137.7946745,144.9562455,149.5324164,154.4719472,158.3040286,165.2534486,172.0571406,176.2253741,184.137996,188.3918792,190.3510938,190.9045383,193.871875,194.9628664,194.0283633,196.6947803,
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,5.540818243,5.975543694,6.48454515,7.252927038,8.409420854,9.820672657,11.44008756,14.11513382,17.02723292,19.91023106,22.56920535,25.35676699,28.80081179,32.22356802,35.72457309,38.79526583,43.01573112,45.5726717,48.27792245,51.60726799,55.38814219,59.2293924,63.20414139,66.07185975,68.63535065,72.02121729,72.59535336,74.21289411,75.32575868,77.38364156,100,102.7695181,106.2641009,109.3243619,112.9871309,116.4892765,120.217507,124.8696969,127.3422082,127.3421906,129.3795928,132.6139114,134.0725499,134.0730334,133.9384682,133.3284247,134.2615868,135.4698473,
Arab World,ARB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,27.95144203,31.24253743,32.884569,31.68062826,33.91443587,37.14172546,39.76188253,40.28390385,38.82642528,36.45899673,36.7289876,36.10515114,37.43583711,38.32720151,38.99841682,40.2993652,40.62613209,41.36017566,41.88877372,41.77882619,43.41132537,45.91748024,45.48020775,43.54527718,47.2219693,52.63338777,51.39686756,53.33496097,55.50697754,60.22585997,70.17879576,78.57388365,88.42230333,104.809921,88.89665179,100,113.1653894,115.6976167,114.6943448,113.5312274,95.99587479,92.92665002,98.79040367,
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.19E-11,8.65E-11,1.11E-10,1.40E-10,1.80E-10,2.19E-10,2.74E-10,3.54E-10,3.91E-10,4.21E-10,4.48E-10,5.88E-10,9.66E-10,1.60E-09,2.09E-09,6.22E-09,3.35E-08,8.69E-08,2.27E-07,5.62E-07,1.10E-06,2.26E-06,6.65E-06,3.19E-05,0.00022708,0.001606471,0.002848149,0.006480676,0.031188016,0.981203426,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1156.051463,1448.870341,
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00192771,0.003458043,0.023127645,0.344871702,14.50977599,37.8942994,45.3184635,53.35614369,59.06444953,59.09622861,58.2844379,60.65611324,62.09353442,64.92568163,69.02218875,71.25839464,74.55043105,77.70597962,82.36022772,84.46612526,91.02805821,94.92547003,100,103.3668246,105.7537532,107.0375085,107.3249845,109.7200122,
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7421981,70.92866756,68.54082999,67.60752688,69.56521739,71.52682256,79.51977401,100,84.5814978,84.04099561,98.62174579,100.9448819,100.3120125,101.8489985,103.3227848,106.0200669,
Antigua and Barbuda,ATG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,26.84185093,29.15972047,33.48862336,37.3059176,40.4219367,44.97857918,47.30508828,49.1236093,52.76428764,57.05135444,62.11548627,69.79954142,72.99685363,74.20148923,76.13530897,78.00946005,79.42366774,82.00122815,83.97182769,86.47178605,88.05194956,89.90994882,91.26184929,92.67830869,94.05353075,94.71331169,93.80112364,95.34079914,99.59339497,100,103.7388242,108.2828078,110.2189167,111.8063256,113.1473126,115.953937,114.3026327,116.7827491,119.6225242,122.0780406,122.162018,
