location,latitude,longitude
"Angola, Huambo, Alemanha",-12.7592843,15.69497731
"Angola, Luanda, 30 Market",-8.8272699,13.2439512
"Angola, Lubango",-14.9195371,13.4898109
"Chad, Abeche",13.8280295,20.8283652
"Somalia, Mogadishu, Bakara",2.0496114,45.32054165
"Somalia, Baidoa",3.119951,43.644462
"Somalia, Bossaso",11.00261495,49.41072275
"Somalia, Jowhar",2.776429,45.509946
"Somalia, Lugh",3.7995708,42.5450627
"Somalia, Beled Hawa",3.9239,41.875
"Somalia, Garowe",8.406143,48.483195
"Somalia, Galkayo",6.769726,47.430826
"Somalia, Qorioley",1.7881,44.529
"Somalia, Wanle Weyne",2.75964045,44.98476335
"Somalia, Burao",9.524175,45.536932
"Somalia, El Barde",4.82821,43.659931
"Somalia, Adanyabal",999,999
"Somalia, Beled Weyn",4.7429,45.2009
"Chad, Amtiman",10.9083034,20.2670878
"Chad, Bol",7.6675408,15.9444247
"Chad, Bongor",10.2816341,15.3713139
"Somalia, Lasanod",8.474261,47.355194
"Chad, Faya",17.9209323,19.0953202
"Chad, Kelo",9.3135075,15.7869843
"Chad, Moundou",8.5654637,16.073831
"Chad, N'Djamena",12.1191543,15.0502758
"Chad, Sarh",9.1406471,18.3937969
"Mauritania, Nouakchott, MarchŽ SCIM",18.0792379,-15.9780071
"Somalia, Gadon, Dhusamareb",5.68118,46.683252
"Somalia, Borama",9.9386691,43.184119
"Somalia, Hargeisa",9.561733,44.061803
"Somalia, Zeilac/Lawayacado",11.3537,43.4753
"Chad, Mao",14.1234161,15.3108471
"Somalia, Togwajale",999,999
"Chad, Mongo",8.8081,18.9096167
"Somalia, Erigavo",10.61806,47.37
"Chad, Moussoro",8.4527186,18.2569364
"Nigeria, Ibadan, Bodija",7.4193044,3.9061863
"Nigeria, Kano, Dawanau",12.0901245,8.4291165
"Haiti, Cap Haitien",19.7595236,-72.2008068
"Haiti, Cayes",18.2696332,-73.8390224
"Haiti, Gonaives",19.4460597,-72.6884336
"Haiti, Hinche",19.1445541,-72.0087527
"Haiti, Jacmel",18.2352587,-72.5375127
"Haiti, Jeremie",18.6445835,-74.1139182
"Haiti, Ouanaminthe",19.5485315,-71.7258332
"Haiti, Port-au-Prince, Croix-de-Bossales",18.5560528,-72.3390004
"Haiti, Port-de-Paix",19.9399753,-72.8307609
"Nigeria, Kaura Namoda",12.47733065,6.571665937
"Djibouti, Djibouti City",11.85677545,42.75778452
"Nigeria, Dandume",11.4169922,7.222459472
"Nigeria, Giwa",11.3,7.45
"Nigeria, Saminaka",10.4110334,8.669981111
"Haiti, Fond-des-Negres",18.36093475,-73.23145649
"Nigeria, Gwandu, Dodoru",12.4369966,4.6631522
"Mauritania, Adel Bagrou",15.5337297,-7.028246
"Mauritania, BoghÂŽ",16.5955353,-14.2603202
"Nigeria, Gombe",10.28221605,11.16297712
"Mauritania, Aoujeft",18.1100481,-15.9536612
"Mauritania, Toufoude Cive",999,999
"Mauritania, Magta-lahjar",17.5127405,-13.0927887
"Nigeria, Lagos, Mile 12",6.4436817,3.53392825
"Nigeria, Aba",5.112735,7.364349
"Nigeria, Maiduguri",11.8395375,13.1536214
"Mauritania, Nouadhibou",20.9131304,-17.0501015
"Mauritania, Kankossa",15.9367211,-11.5191388
"Mauritania, Tintane",16.3954331,-10.1673276
"Kenya, Nairobi",-1.2832533,36.8172449
"Malawi, Balaka",-15.04847375,35.05315979
"Malawi, Jenda",-12.3560576,33.5497146
"Malawi, Karonga",-10.08482,33.86619787
"Malawi, Lilongwe",-13.973456,33.7878122
"Malawi, Lunzu",-15.5534551,34.9446837
"Malawi, Mangochi",-14.14031205,35.32641123
"Malawi, Mitundu",-14.248669,33.7787688
"Malawi, Mzuzu",-11.4607518,34.0226422
"Malawi, Nsanje, Nsanje Boma",-16.7199917,35.10110879
"Malawi, Ntcheu",-14.83041285,34.76583163
"Malawi, Phalombe",-15.69220705,35.66505197
"Malawi, Salima",-13.76339875,34.4523621
"Nigeria, Gujungu",12.3626414,9.582104
"Nigeria, Biu",10.6146098,12.1909612
"Nigeria, Damaturu",11.747,11.9608
"Nigeria, Mubi",10.267607,13.264359
"Nigeria, Potiskum",11.7122553,11.0762744
"Somalia, Abudwak",6.24187,46.22592
"Somalia, Afgoi",1.9836267,44.9880837
"Somalia, Afmadow",0.6181757,41.82465977
"Somalia, Balanbale",5.68895,45.96932
"Somalia, Bardera",2.3372449,42.2849308
"Somalia, Buale",1.083333,42.58333
"Somalia, Dhahar",9.74799,48.81988
"Somalia, Dinsor",2.4075,42.9709
"Somalia, Doblei",999,999
"Somalia, El Dhere",2.88306,45.65694
"Somalia, Elwak",2.6862,41.4413
"Somalia, Hara Dhere",999,999
"Somalia, Hudur",4.1237042,43.8915563
"Somalia, Iskushuban",10.282832,50.230716
"Somalia, Jalam",8.523509,49.419263
"Somalia, Jamame",0.07222,42.75056
"Somalia, Jilib",0.4937927,42.7764134
"Somalia, Kismayo",-0.3602285,42.5408831
"Somalia, Merka",1.7148358,44.7699326
"Somalia, Qansah Dere",999,999
"Somalia, Rako",9.78144,49.72944
"Somalia, Saakow",1.63938,42.452171
"Somalia, Sarmaanyo",9.48895,47.99372
"Somalia, Sugsade",9.9422083,45.3308107
"Somalia, Tortoroow",999,999
"Zimbabwe, Harare, Mbare",-17.8633131,31.034494
"Zimbabwe, Bulawayo, Renkini",-20.1472664,28.5735272
"Zimbabwe, Gweru, Kombayi",-19.5415976,29.62079371
"Zimbabwe, Masvingo, Mucheke",-20.07801915,30.81999292
"Zimbabwe, Mutare, Sakubva",-18.9948244,32.6407429
"Zimbabwe, National",-18.4554963,29.7468414
