Grain,Time Period,Linear_AIC,lall_pvals_sig?,Log-Linear_AIC,log_lall_pvals_sig?,2_AIC,qall_pvals_sig?,Log_2_AIC,log_qall_pvals_sig?,3_AIC,tall_pvals_sig?,Log_3_AIC,log_tall_pvals_sig?,Log_AIC,gall_pvals_sig?,Log_Log_AIC,log_gall_pvals_sig?,"rep(buf, nrow(final))",,Mins,2nd Smallest,Next smallest Dif,Next smallest probability of being better,,1st Choice,2nd Choice,,
sorghum,p_sow,18943.73891,TRUE,-129.4212634,TRUE,18845.54167,TRUE,-131.7023895,TRUE,18845.07548,FALSE,-141.0872094,TRUE,18943.73891,TRUE,59.6246178,TRUE,0.25,,-141.0872094,-131.7023895,-9.384819972,0.92,,Log_3,,,
sorghum,p_grow,18204.18019,TRUE,669.4461613,TRUE,18164.91908,TRUE,597.0451731,TRUE,17949.77365,TRUE,346.6807757,TRUE,18204.18019,TRUE,671.268666,TRUE,0.25,,346.6807757,597.0451731,-250.3643974,0.00,,Log_3,,,
sorghum,p_harv,17220.21919,TRUE,410.176408,TRUE,17128.94411,TRUE,267.4515614,TRUE,16938.4208,TRUE,155.1896822,TRUE,17220.21919,TRUE,277.3258973,TRUE,0.25,,155.1896822,267.4515614,-112.2618792,0.00,,Log_3,,,
sorghum,p_sup,20113.50513,TRUE,865.1834962,FALSE,20114.47171,FALSE,855.4282512,TRUE,20114.49204,FALSE,848.1038615,TRUE,20113.50513,TRUE,768.8329887,TRUE,0.25,,768.8329887,848.1038615,-79.27087288,0.00,,Log_Log,,,
sorghum,p_onemonth,21259.47774,TRUE,903.9132176,FALSE,21261.46671,FALSE,882.7037172,TRUE,21233.26639,TRUE,831.1386733,TRUE,21259.47774,TRUE,847.5924558,TRUE,0.25,,831.1386733,847.5924558,-16.45378257,0.03,,Log_3,,,Rules for Selection: 
millet,p_sow,15565.28441,TRUE,-1077.347028,TRUE,15533.65907,TRUE,-1208.785567,TRUE,15535.65901,FALSE,-1213.402686,TRUE,15565.28441,TRUE,-1109.572188,TRUE,0.25,,-1213.402686,-1208.785567,-4.617118947,9.94,,Log_3,Log_2,,1. Significant Pvalues for all precicted coefficients
millet,p_grow,19729.98006,FALSE,-1117.202073,TRUE,19718.17597,TRUE,-1117.837087,FALSE,19720.11388,FALSE,-1116.299441,FALSE,19729.98006,FALSE,-1120.103534,TRUE,0.25,,-1120.103534,-1117.837087,-2.266447249,32.20,,Log_Log,,,2. Smallest AIC 
millet,p_harv,19280.95579,TRUE,-1010.152918,TRUE,19279.88131,FALSE,-1038.992391,TRUE,19279.16725,FALSE,-1050.545982,TRUE,19280.95579,TRUE,-1099.578785,TRUE,0.25,,-1099.578785,-1050.545982,-49.03280227,0.00,,Log_Log,,,"3. Compare AIC Values. If simpler one is within (X)%, use it"
millet,p_sup,22078.85148,FALSE,-958.4738596,FALSE,22061.2728,TRUE,-978.9676553,TRUE,22060.56517,FALSE,-979.5074587,FALSE,22078.85148,FALSE,-971.3667987,TRUE,0.25,,-978.9676553,-971.3667987,-7.600856667,2.24,,Log_2,,,
millet,p_onemonth,21623.1163,FALSE,-963.9003855,FALSE,21620.72432,FALSE,-966.9335839,TRUE,21611.34471,TRUE,-971.3850734,TRUE,21623.1163,FALSE,-961.1732329,FALSE,0.25,,-971.3850734,-966.9335839,-4.451489471,10.80,,Log_3,Log_2,,Comparison is done first following Burnham & Anderson 2004:
maize,p_sow,38291.00771,TRUE,-5697.475176,TRUE,38205.4431,TRUE,-5745.778071,TRUE,38206.90056,FALSE,-5744.841841,FALSE,38291.00771,TRUE,-5760.092146,TRUE,0.25,,-5760.092146,-5745.778071,-14.31407566,0.08,,Log_Log,,,"if ___<2, then there is substantial support for the __i-th model (or the evidence against it is worth only a bare mention), and the proposition that it is a proper description is highly probable;"
maize,p_grow,38183.21124,TRUE,-6233.638479,TRUE,38182.7126,FALSE,-6241.042988,TRUE,38184.64588,FALSE,-6246.105738,FALSE,38183.21124,TRUE,-6242.263296,TRUE,0.25,,-6242.263296,-6241.042988,-1.220308574,54.33,,Log_Log,Log_2,,"if 2<___<4, then there is strong support for the __i-th model;"
maize,p_harv,41476.98629,TRUE,-6129.999487,TRUE,41475.95778,FALSE,-6133.525339,FALSE,41431.61424,TRUE,-6213.143195,TRUE,41476.98629,TRUE,-6180.970709,TRUE,0.25,,-6213.143195,-6180.970709,-32.17248574,0.00,,Log_3,,,"if 4<___<7, then there is considerably less support for the __i-th model;"
maize,p_sup,46173.47451,TRUE,-6962.980106,TRUE,46159.35354,FALSE,-6969.132703,TRUE,46131.56791,TRUE,-6979.58408,TRUE,46173.47451,TRUE,-6866.289385,FALSE,0.25,,-6979.58408,-6969.132703,-10.45137767,0.54,,Log_3,,,models with ___>10 have essentially no support.
maize,p_onemonth,51710.27261,TRUE,-7160.715298,FALSE,51701.27165,FALSE,-7159.469398,FALSE,51694.16591,TRUE,-7186.329419,TRUE,51710.27261,TRUE,-7166.813839,TRUE,0.25,,-7186.329419,-7166.813839,-19.51557988,0.01,,Log_3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Then a %age comparison. (exp(delta/2))
sorghum,p_sow,18953.30441,TRUE,-110.6393661,TRUE,18855.07066,TRUE,-113.9332223,TRUE,18820.88022,TRUE,-154.4381433,TRUE,18953.30441,TRUE,39.85677682,TRUE,0.5/.75/1,,-154.4381433,-113.9332223,-40.50492096,0.00,,Log_3,,,
sorghum,p_grow,18229.40507,TRUE,674.0528367,TRUE,18182.63782,TRUE,597.685927,TRUE,18022.59195,TRUE,378.1053906,TRUE,18229.40507,TRUE,657.1013361,TRUE,0.5/.75/1,,378.1053906,597.685927,-219.5805364,0.00,,Log_3,,,
sorghum,p_harv,17225.65801,FALSE,392.4681826,TRUE,17190.77768,TRUE,317.5550567,TRUE,17028.8143,TRUE,200.8295443,TRUE,17225.65801,FALSE,311.6753433,TRUE,0.5/.75/1,,200.8295443,311.6753433,-110.845799,0.00,,Log_3,,,
sorghum,p_sup,20116.75176,TRUE,865.6712205,FALSE,20117.43368,FALSE,856.4484159,TRUE,20117.69547,FALSE,848.8996985,TRUE,20116.75176,TRUE,764.8394941,TRUE,0.5/.75/1,,764.8394941,848.8996985,-84.06020435,0.00,,Log_Log,,,
sorghum,p_onemonth,21261.79141,FALSE,902.1471059,FALSE,21263.78079,FALSE,882.5894009,TRUE,21230.63373,TRUE,817.4779346,TRUE,21261.79141,FALSE,842.1757289,TRUE,0.5/.75/1,,817.4779346,842.1757289,-24.69779432,0.00,,Log_3,,,
millet,p_sow,15570.71677,TRUE,-1071.417817,TRUE,15533.48741,TRUE,-1228.018747,TRUE,15535.47742,FALSE,-1231.23363,TRUE,15570.71677,TRUE,-1109.568761,TRUE,0.5/.75/1,,-1231.23363,-1228.018747,-3.214882734,20.04,,Log_3,Log_2,,
millet,p_grow,19730.10521,FALSE,-1118.603988,TRUE,19725.57167,TRUE,-1116.617839,FALSE,19723.95854,FALSE,-1122.747003,TRUE,19730.10521,FALSE,-1134.131288,TRUE,0.5/.75/1,,-1134.131288,-1122.747003,-11.38428534,0.34,,Log_Log,Log_3,,
millet,p_harv,19278.4158,TRUE,-1014.270065,TRUE,19276.23869,TRUE,-1048.068241,TRUE,19275.39537,FALSE,-1066.061798,TRUE,19278.4158,TRUE,-1119.415517,TRUE,0.5/.75/1,,-1119.415517,-1066.061798,-53.35371912,0.00,,Log_Log,,,
millet,p_sup,22078.10379,FALSE,-958.9532109,TRUE,22062.65858,TRUE,-977.2678611,TRUE,22062.00112,FALSE,-978.1658948,FALSE,22078.10379,FALSE,-974.1813379,TRUE,0.5/.75/1,,-977.2678611,-974.1813379,-3.086523252,21.37,,Log_2,Log_Log,,
