"","Grain","Time Period","Linear_AIC","Linear_Pvals","2_AIC","2_Pvals","3_AIC","3_Pvals","Log_AIC","Log_Pvals","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","5134.31929690813","TRUE","5135.79349371755","FALSE","5135.79349371755","FALSE","5134.48109861469","TRUE","-630.429835419865","TRUE","-629.75221218279","FALSE","-629.75221218279",NA,"-631.273665751553","TRUE",0.25
"2","sorghum","p_grow","4631.92800901754","TRUE","4631.92800901729",NA,"4631.92800901988",NA,"4631.92800901754","TRUE","-505.736901567957","TRUE","-505.73690156823",NA,"-505.736901565321",NA,"-505.736901567956","TRUE",0.25
"3","sorghum","p_harv","4004.39358463797","TRUE","4004.39358463797",NA,"4004.39358463797",NA,"4004.39358463797","TRUE","-346.200668348067","FALSE","-346.200668348067","FALSE","-346.200668348065","FALSE","-346.200668348067","FALSE",0.25
"4","sorghum","p_sup","5209.60327060575","TRUE","5206.84888382758","FALSE","5198.2330178192","TRUE","5216.42959620031","TRUE","-422.431921984377","TRUE","-476.26422190925","TRUE","-474.904728770272","FALSE","-501.181450042525","TRUE",0.25
"5","sorghum","p_onemonth","5156.97097745732","TRUE","5158.759997721","FALSE","5147.95084849421","FALSE","5151.46582354404","TRUE","-483.23491425832","TRUE","-516.108175943309","FALSE","-535.248016234585","TRUE","-455.082796688953","TRUE",0.25
"6","millet","p_sow","4607.44350435868","TRUE","4607.63841753066","FALSE","4604.80532167057","FALSE","4613.65130440772","TRUE","-1072.86794465092","TRUE","-1076.26065507332","FALSE","-1076.41167235862","FALSE","-1067.36754431992","FALSE",0.25
"7","millet","p_grow","6745.62662763323","FALSE","6737.32705172362","TRUE","6717.27760252657","TRUE","6746.02398701289","FALSE","-1370.70541798169","FALSE","-1371.97860449705","FALSE","-1371.79610421346","FALSE","-1370.21805689909","FALSE",0.25
"8","millet","p_harv","6374.59563111375","FALSE","6374.76598284296","FALSE","6370.65349015855","TRUE","6374.44577942284","FALSE","-1444.85735284133","FALSE","-1446.79489429625","FALSE","-1446.02389583076","FALSE","-1446.99582192642","FALSE",0.25
"9","millet","p_sup","7504.02501259653","TRUE","7461.11671004805","TRUE","7451.5311648083","TRUE","7482.91949041217","TRUE","-1223.56461395019","TRUE","-1275.74229495826","TRUE","-1288.36200946449","TRUE","-1233.85353464552","TRUE",0.25
"10","millet","p_onemonth","7335.21221009455","FALSE","7336.61034152054","FALSE","7316.98121055427","TRUE","7330.92263763087","TRUE","-1230.72500256721","FALSE","-1232.22633360812","FALSE","-1244.15191508795","TRUE","-1227.54879379876","FALSE",0.25
"11","maize","p_sow","15975.6779208699","TRUE","15932.0061298498","TRUE","15931.5052433478","FALSE","15962.0627881693","TRUE","-3672.81532136747","TRUE","-3709.95062562639","TRUE","-3707.95062699757","FALSE","-3667.25745685003","TRUE",0.25
"12","maize","p_grow","15807.0331861066","TRUE","15781.0100345946","TRUE","15770.594948408","TRUE","15812.7010245805","TRUE","-3793.64041523191","FALSE","-3825.45323101352","TRUE","-3879.09731231352","TRUE","-3796.06153337205","TRUE",0.25
"13","maize","p_harv","17472.9190871261","FALSE","17470.1869011856","TRUE","17465.5539520486","TRUE","17469.7205931075","TRUE","-4006.11811609326","FALSE","-4005.41517813791","FALSE","-4013.58516638676","TRUE","-4005.41533597514","FALSE",0.25
"14","maize","p_sup","19699.6894874654","TRUE","19679.903407738","FALSE","19610.5809717228","TRUE","19743.6971926532","FALSE","-4520.91328842414","TRUE","-4528.1398407447","FALSE","-4549.94359567082","TRUE","-4459.3138923528","FALSE",0.25
"15","maize","p_onemonth","19359.4448263283","TRUE","19356.1195566258","FALSE","19348.7023264308","FALSE","19399.7109197841","FALSE","-4415.41126523918","TRUE","-4416.39353952084","FALSE","-4430.33880471995","FALSE","-4390.56858496589","FALSE",0.25
"16","sorghum","p_sow","5134.29471986338","TRUE","5135.79349371755","FALSE","5135.79349371756","FALSE","5134.47221768687","TRUE","-630.251828851861","TRUE","-629.75221218279","FALSE","-629.752212182789","FALSE","-631.240199148823","TRUE",1
"17","sorghum","p_grow","4631.92800901754","TRUE","4631.92800901754",NA,"4631.92800901771","FALSE","4631.92800901754","TRUE","-505.736901567957","TRUE","-505.736901567955",NA,"-505.736901567758","FALSE","-505.736901567954","TRUE",1
"18","sorghum","p_harv","4004.39358463797","TRUE","4004.39358463797",NA,"4004.39358463797",NA,"4004.39358463797","TRUE","-346.200668348066","FALSE","-346.200668348067","FALSE","-346.200668348066","FALSE","-346.200668348067","FALSE",1
