"","","Estimate","Std. Error","t value","Pr(>|t|)"
"poly(p_sow, level, raw = T)1","sorghum","0.143574017950181","0.0124453083451237","11.5363970075065","6.98111346679766e-30"
"poly(p_sow, level, raw = T)2","sorghum","-0.000129703617016046","1.44982803092606e-05","-8.94613804184758","7.99283935270893e-19"
"poly(p_sow, level, raw = T)3","sorghum","4.54418542191898e-08","4.60949429329215e-09","9.85831662386868","1.95769660842742e-22"
"poly(p_grow, level, raw = T)1","sorghum","0.492432076629012","0.0530655801879881","9.27968892235872","4.41742642029956e-20"
"poly(p_grow, level, raw = T)2","sorghum","-0.00219541013228064","0.000142037770080678","-15.4565235080334","6.73928820470039e-51"
"poly(p_grow, level, raw = T)3","sorghum","1.9255849745716e-06","1.12133448149962e-07","17.172262213826","1.2861264037975e-61"
"poly(p_harv, level, raw = T)1","sorghum","-1.16108098679562","0.151698630413636","-7.65386598171457","3.16443987112108e-14"
"poly(p_harv, level, raw = T)2","sorghum","0.00163934301036683","0.000220426587162851","7.43713828475547","1.58615021407139e-13"
"poly(p_harv, level, raw = T)3","sorghum","-5.32051548549075e-07","7.37028340510343e-08","-7.21887503241279","7.70719401927354e-13"
"poly(p_sup, level, raw = T)1","sorghum","0.00981758061309177","0.00382052791455772","2.56969215580991","0.0102464839201146"
"poly(p_sup, level, raw = T)2","sorghum","-4.27856381148043e-06","2.14756299093534e-06","-1.99228792335304","0.0464671628543011"
"poly(p_sup, level, raw = T)3","sorghum","6.13167803358079e-10","3.36225597358518e-10","1.82367972032854","0.0683408423701537"
"poly(p_onemonth, level, raw = T)1","sorghum","0.15763126743604","0.0210826496151413","7.47682432301258","1.09123187248966e-13"
"poly(p_onemonth, level, raw = T)2","sorghum","-0.000547218013420429","6.54443909911832e-05","-8.36157239959879","1.07999067222661e-16"
"poly(p_onemonth, level, raw = T)3","sorghum","4.81093493787211e-07","5.63640808399038e-08","8.53546241894206","2.55224531335906e-17"
"poly(p_sow, level, raw = T)1","millet","0.616274536408488","0.138702202975125","4.44314886994988","9.40087369424779e-06"
"poly(p_sow, level, raw = T)2","millet","0.000742861662194679","0.00114816437628895","0.64699939968154","0.517714236183056"
"poly(p_sow, level, raw = T)3","millet","-1.03996344660542e-05","2.9381224737539e-06","-3.5395510428696","0.000410915933119646"
"poly(p_grow, level, raw = T)1","millet","-0.0519033739945672","0.140459910477997","-0.369524470134828","0.711769906160134"
"poly(p_grow, level, raw = T)2","millet","0.000232094429527351","0.000346431558276799","0.669957525468589","0.502950245535848"
"poly(p_grow, level, raw = T)3","millet","-2.47203307913597e-07","2.86319311251622e-07","-0.863383286418816","0.388014276617884"
"poly(p_harv, level, raw = T)1","millet","-0.881133106404088","0.209296978979449","-4.20996571809384","2.65244358044543e-05"
"poly(p_harv, level, raw = T)2","millet","0.00330378940757677","0.00112564729764158","2.9350129605417","0.00336843400808954"
"poly(p_harv, level, raw = T)3","millet","-5.26736540788973e-06","1.94159591300461e-06","-2.71290507597871","0.00671938446586876"
"poly(p_sup, level, raw = T)1","millet","-0.0291379882333854","0.0115953343089251","-2.51290626532065","0.0120330482165255"
"poly(p_sup, level, raw = T)2","millet","3.62622428953697e-05","2.57490956556923e-05","1.40829190198582","0.159162002161252"
"poly(p_sup, level, raw = T)3","millet","-1.33792512157403e-08","1.63684288635377e-08","-0.817381517021705","0.413783942834646"
"poly(p_onemonth, level, raw = T)1","millet","-0.108181525125277","0.0372846871126978","-2.9015001466496","0.00374511619336445"
"poly(p_onemonth, level, raw = T)2","millet","0.000759139216507737","0.000281171757733541","2.69991276018252","0.00698083267060316"
"poly(p_onemonth, level, raw = T)3","millet","-1.50301445186684e-06","5.92016225336697e-07","-2.5388061805435","0.0111811638464911"
"poly(p_sow, level, raw = T)1","maize","0.0918191187396435","0.0121839718545751","7.53605801421525","5.67510516778463e-14"
"poly(p_sow, level, raw = T)2","maize","-0.00020677179862355","4.52426046850307e-05","-4.57028944427606","4.98258303797946e-06"
"poly(p_sow, level, raw = T)3","maize","1.86015399073429e-07","5.12470961056526e-08","3.62977443033911","0.000286379262790008"
"poly(p_grow, level, raw = T)1","maize","0.274503783993638","0.0703507053486731","3.90193364278493","9.66092932640864e-05"
"poly(p_grow, level, raw = T)2","maize","-0.00115226362771252","0.00022676128930567","-5.08139476204552","3.87523572481458e-07"
"poly(p_grow, level, raw = T)3","maize","1.35291591200765e-06","2.38410150543994e-07","5.67474123446767","1.46265512543364e-08"
"poly(p_harv, level, raw = T)1","maize","-0.247923131666137","0.0347455397763821","-7.13539444952472","1.08444940198685e-12"
"poly(p_harv, level, raw = T)2","maize","0.000316401686338539","4.91331142796292e-05","6.43968311346632","1.29447273166138e-10"
"poly(p_harv, level, raw = T)3","maize","-1.44058064326276e-07","2.2588814918015e-08","-6.37740690908875","1.94175696551061e-10"
"poly(p_sup, level, raw = T)1","maize","0.000260727583439949","0.00210712908484167","0.123735933083349","0.901528214104065"
"poly(p_sup, level, raw = T)2","maize","9.87289398030343e-06","2.70847976709216e-06","3.64517915188379","0.000269307789923118"
"poly(p_sup, level, raw = T)3","maize","-4.16491232256952e-09","9.82989558097998e-10","-4.23698531511187","2.29695091540332e-05"
"poly(p_onemonth, level, raw = T)1","maize","0.00478059565234739","0.00613261036957255","0.779536830852113","0.435689272591403"
"poly(p_onemonth, level, raw = T)2","maize","-2.40406281777178e-05","3.03457309074959e-05","-0.792224390673002","0.428256051641089"
"poly(p_onemonth, level, raw = T)3","maize","2.82823491582892e-08","3.62892993613224e-08","0.779357817760265","0.435794680132151"
