"","gr","Estimate","Std. Error","t value","Pr(>|t|)"
"p_sow","sorghum","0.050158661422117","0.00170226846523958","29.465776078427","1.30650556690492e-159"
"p_grow","sorghum","0.151618849703667","0.00849204650214521","17.8542180221653","4.11928608963289e-66"
"p_harv","sorghum","-0.00765380248536232","0.0164090861223753","-0.466436852624331","0.640959406937605"
"p_sup","sorghum","0.00205635036890742","0.000864418278403735","2.37888348763836","0.017452905990061"
"p_onemonth","sorghum","0.00363122202789501","0.0045985092074367","0.789652007659919","0.429815623825931"
"p_sow","millet","0.0697565819454657","0.0220930791882588","3.15739518928341","0.00161802126944587"
"p_grow","millet","0.00987545948786586","0.00618487748797069","1.59671060697212","0.110463659550441"
"p_harv","millet","-0.230854803177656","0.0288593742474374","-7.99930037284697","1.9639544068824e-15"
"p_sup","millet","-0.00490421962292447","0.00255499837034897","-1.91946095928611","0.055033249487966"
"p_onemonth","millet","-0.0112681648594781","0.00911347797187323","-1.23642860544073","0.216411226229014"
"p_sow","maize","0.027434500846225","0.00285064084012196","9.62397663714494","9.57879155940912e-22"
"p_grow","maize","-0.0284003345187248","0.00560475571442303","-5.06718507742285","4.17432302577618e-07"
"p_harv","maize","-0.0261905964335658","0.00269088341199168","-9.73308479915918","3.23280279122702e-22"
"p_sup","maize","0.00485222744693141","0.000716809620221776","6.76919967317147","1.40908232296692e-11"
"p_onemonth","maize","0.000290430934716795","0.00133676017643707","0.217264801746932","0.828008164526906"
