"","","Estimate","Std. Error","t value","Pr(>|t|)"
"poly(p_sow, level, raw = T)1","sorghum","0.0263868444133821","0.00377018118791505","6.99882660758124","3.47579366148498e-12"
"poly(p_sow, level, raw = T)2","sorghum","1.22410959464511e-05","1.73736150614596e-06","7.04579668833911","2.50275384019862e-12"
"poly(p_grow, level, raw = T)1","sorghum","-0.07334798653629","0.0446534118591353","-1.64260654410183","0.100627266529849"
"poly(p_grow, level, raw = T)2","sorghum","0.000178989055917073","3.48874243466699e-05","5.13047492811426","3.18009182729618e-07"
"poly(p_harv, level, raw = T)1","sorghum","-0.0894636398479669","0.0316840594944906","-2.82361671058986","0.00480092574511485"
"poly(p_harv, level, raw = T)2","sorghum","5.3043796423137e-05","1.75880523865371e-05","3.01589938768545","0.00259814892509502"
"poly(p_sup, level, raw = T)1","sorghum","0.0040115668001622","0.00211317029329045","1.89836418432503","0.0577833649677867"
"poly(p_sup, level, raw = T)2","sorghum","-4.44451726194946e-07","4.38329581925223e-07","-1.01396698859071","0.310713829931505"
"poly(p_onemonth, level, raw = T)1","sorghum","0.00267930478326424","0.0108925081315543","0.245976844901553","0.805722978157743"
"poly(p_onemonth, level, raw = T)2","sorghum","1.2173570335582e-06","1.26270233337712e-05","0.0964088686129495","0.92320458227259"
"poly(p_sow, level, raw = T)1","millet","1.02269261182165","0.078055762416807","13.1020770300162","1.53139875322883e-37"
"poly(p_sow, level, raw = T)2","millet","-0.00322111978328388","0.000253945828423162","-12.6842791759366","2.19189542057429e-35"
"poly(p_grow, level, raw = T)1","millet","0.0598833362560971","0.054450382593839","1.0997780622183","0.271540671797237"
"poly(p_grow, level, raw = T)2","millet","-6.14499342139879e-05","6.64758474167722e-05","-0.924394898326393","0.355374975902466"
"poly(p_harv, level, raw = T)1","millet","-0.343245140615952","0.0671314386953867","-5.11303120097649","3.43217366328641e-07"
"poly(p_harv, level, raw = T)2","millet","0.000276947476128253","0.000149374460118898","1.85404838221882","0.0638602885571459"
"poly(p_sup, level, raw = T)1","millet","-0.0210545239120986","0.00605356985175267","-3.47803435455573","0.000513243960516304"
"poly(p_sup, level, raw = T)2","millet","1.56707317909169e-05","5.32665885387835e-06","2.94194395038215","0.0032898758641916"
"poly(p_onemonth, level, raw = T)1","millet","-0.0292255823864253","0.0205875914295885","-1.41957268223335","0.155852326803844"
"poly(p_onemonth, level, raw = T)2","millet","6.70048141370263e-05","6.88821418298047e-05","0.97274579966725","0.330770388121089"
"poly(p_sow, level, raw = T)1","maize","0.051503478327251","0.00501434963706489","10.2712180153034","1.62139943716535e-24"
"poly(p_sow, level, raw = T)2","maize","-4.49515296687059e-05","7.71583421394446e-06","-5.82588070483256","6.02042269136802e-09"
"poly(p_grow, level, raw = T)1","maize","-0.100890316542005","0.0240112205170972","-4.20179875780017","2.69151117133047e-05"
"poly(p_grow, level, raw = T)2","maize","0.000116815050598248","3.76261143313871e-05","3.10462700371915","0.00191523249280086"
"poly(p_harv, level, raw = T)1","maize","-0.0338614670195059","0.00900877666954273","-3.75871977534821","0.000172480266635215"
"poly(p_harv, level, raw = T)2","maize","5.72313780436482e-06","6.41448148587723e-06","0.892221423815076","0.37231164908707"
"poly(p_sup, level, raw = T)1","maize","0.00722483837485161","0.00132022056185325","5.47244800119593","4.60556231704106e-08"
"poly(p_sup, level, raw = T)2","maize","-1.3077239307395e-06","6.11146270534206e-07","-2.13978877691001","0.032409236928637"
"poly(p_onemonth, level, raw = T)1","maize","0.00071772682987608","0.00322985236352905","0.222216605929278","0.824151594026766"
"poly(p_onemonth, level, raw = T)2","maize","-9.71716968835405e-07","6.68633150198676e-06","-0.145328865095407","0.884455308924035"
