grain,time_period,buffer,daily,zeros,model_choice,backup_choice
sorghum,p_sow,0.25,TRUE,FALSE,Log_3,
sorghum,p_grow,0.25,TRUE,FALSE,Log_3,
sorghum,p_harv,0.25,TRUE,FALSE,Log_2,
sorghum,p_sup,0.25,TRUE,FALSE,Log_3,
sorghum,p_onemonth,0.25,TRUE,FALSE,Log_2,
millet,p_sow,0.25,TRUE,FALSE,Log_Log,Log_2
millet,p_grow,0.25,TRUE,FALSE,Log_2,
millet,p_harv,0.25,TRUE,FALSE,Log_3,
millet,p_sup,0.25,TRUE,FALSE,Log_Log,
millet,p_onemonth,0.25,TRUE,FALSE,Log_Log,Log_3
maize,p_sow,0.25,TRUE,FALSE,Log_2,
maize,p_grow,0.25,TRUE,FALSE,Log_3,
maize,p_harv,0.25,TRUE,FALSE,Log_3,
maize,p_sup,0.25,TRUE,FALSE,Log_3,
maize,p_onemonth,0.25,TRUE,FALSE,Log_2,
sorghum,p_sow,1,TRUE,FALSE,Log_3,
sorghum,p_grow,1,TRUE,FALSE,Log_3,
sorghum,p_harv,1,TRUE,FALSE,Log_3,
sorghum,p_sup,1,TRUE,FALSE,Log_3,
sorghum,p_onemonth,1,TRUE,FALSE,Log_2,
millet,p_sow,1,TRUE,FALSE,Log_Log,Log_2
millet,p_grow,1,TRUE,FALSE,Log_2,
millet,p_harv,1,TRUE,FALSE,Log_2,
millet,p_sup,1,TRUE,FALSE,Log_Log,
millet,p_onemonth,1,TRUE,FALSE,Log_3,
maize,p_sow,1,TRUE,FALSE,Log_2,
maize,p_grow,1,TRUE,FALSE,Log_3,
maize,p_harv,1,TRUE,FALSE,Log_2,Log_3
maize,p_sup,1,TRUE,FALSE,Log_3,
maize,p_onemonth,1,TRUE,FALSE,Log_2,
sorghum,p_sow,2,TRUE,FALSE,Log_3,
sorghum,p_grow,2,TRUE,FALSE,Log_2,
sorghum,p_harv,2,TRUE,FALSE,Log_3,
sorghum,p_sup,2,TRUE,FALSE,Log_3,
sorghum,p_onemonth,2,TRUE,FALSE,Log_2,
millet,p_sow,2,TRUE,FALSE,Log_3,
millet,p_grow,2,TRUE,FALSE,Log_2,
millet,p_harv,2,TRUE,FALSE,Log_3,
millet,p_sup,2,TRUE,FALSE,Log_Log,Log_2
millet,p_onemonth,2,TRUE,FALSE,Log_3,
maize,p_sow,2,TRUE,FALSE,Log_2,
maize,p_grow,2,TRUE,FALSE,Log_3,
maize,p_harv,2,TRUE,FALSE,Log_3,
maize,p_sup,2,TRUE,FALSE,Log_3,
maize,p_onemonth,2,TRUE,FALSE,Log_3,
sorghum,p_sow,0.25,TRUE,TRUE,Log_3,
sorghum,p_grow,0.25,TRUE,TRUE,Log_3,
sorghum,p_harv,0.25,TRUE,TRUE,Log_3,
sorghum,p_sup,0.25,TRUE,TRUE,Log_3,
sorghum,p_onemonth,0.25,TRUE,TRUE,Log_3,
millet,p_sow,0.25,TRUE,TRUE,Log_2,
millet,p_grow,0.25,TRUE,TRUE,Log_3,
millet,p_harv,0.25,TRUE,TRUE,Log_3,
millet,p_sup,0.25,TRUE,TRUE,Log_2,
millet,p_onemonth,0.25,TRUE,TRUE,,
maize,p_sow,0.25,TRUE,TRUE,Log_2,
maize,p_grow,0.25,TRUE,TRUE,Log_3,
maize,p_harv,0.25,TRUE,TRUE,Log_Log,
maize,p_sup,0.25,TRUE,TRUE,Log_Log,
maize,p_onemonth,0.25,TRUE,TRUE,Log_3,
sorghum,p_sow,1,TRUE,TRUE,Log_3,
sorghum,p_grow,1,TRUE,TRUE,Log_3,
sorghum,p_harv,1,TRUE,TRUE,Log_3,
sorghum,p_sup,1,TRUE,TRUE,Log_3,
sorghum,p_onemonth,1,TRUE,TRUE,Log_Log,
millet,p_sow,1,TRUE,TRUE,Log_2,
millet,p_grow,1,TRUE,TRUE,Log_3,
millet,p_harv,1,TRUE,TRUE,Log_3,
millet,p_sup,1,TRUE,TRUE,Log_Log,
millet,p_onemonth,1,TRUE,TRUE,,
maize,p_sow,1,TRUE,TRUE,Log_2,
maize,p_grow,1,TRUE,TRUE,Log_3,
maize,p_harv,1,TRUE,TRUE,Log_Log,
maize,p_sup,1,TRUE,TRUE,Log_Log,
maize,p_onemonth,1,TRUE,TRUE,Log_3,
sorghum,p_sow,2,TRUE,TRUE,Log_3,
sorghum,p_grow,2,TRUE,TRUE,Log_3,
sorghum,p_harv,2,TRUE,TRUE,Log_3,
sorghum,p_sup,2,TRUE,TRUE,Log_3,
sorghum,p_onemonth,2,TRUE,TRUE,Log_Log,
millet,p_sow,2,TRUE,TRUE,Log_3,
millet,p_grow,2,TRUE,TRUE,Log_2,Log_3
millet,p_harv,2,TRUE,TRUE,Log_3,
millet,p_sup,2,TRUE,TRUE,Log_Log,
millet,p_onemonth,2,TRUE,TRUE,Log_Linear,
maize,p_sow,2,TRUE,TRUE,Log_3,
maize,p_grow,2,TRUE,TRUE,Log_3,
maize,p_harv,2,TRUE,TRUE,Log_Log,
maize,p_sup,2,TRUE,TRUE,Log_Log,
maize,p_onemonth,2,TRUE,TRUE,Log_3,
sorghum,p_sow,0.25,FALSE,TRUE,Log_2,
sorghum,p_grow,0.25,FALSE,TRUE,Log_3,
sorghum,p_harv,0.25,FALSE,TRUE,Log_2,
sorghum,p_sup,0.25,FALSE,TRUE,Log_Log,
sorghum,p_onemonth,0.25,FALSE,TRUE,Log_3,
millet,p_sow,0.25,FALSE,TRUE,Log_3,
millet,p_grow,0.25,FALSE,TRUE,Log_2,
millet,p_harv,0.25,FALSE,TRUE,Log_3,
millet,p_sup,0.25,FALSE,TRUE,Log_3,
millet,p_onemonth,0.25,FALSE,TRUE,,
maize,p_sow,0.25,FALSE,TRUE,Log_Log,
maize,p_grow,0.25,FALSE,TRUE,Log_Log,
maize,p_harv,0.25,FALSE,TRUE,Log_Log,
maize,p_sup,0.25,FALSE,TRUE,Log_2,
maize,p_onemonth,0.25,FALSE,TRUE,Log_2,Log_3
sorghum,p_sow,1,FALSE,TRUE,Log_2,Log_3
sorghum,p_grow,1,FALSE,TRUE,Log_3,
sorghum,p_harv,1,FALSE,TRUE,Log_2,
sorghum,p_sup,1,FALSE,TRUE,Log_Log,
sorghum,p_onemonth,1,FALSE,TRUE,Log_Log,
millet,p_sow,1,FALSE,TRUE,Log_3,
millet,p_grow,1,FALSE,TRUE,Log_2,
millet,p_harv,1,FALSE,TRUE,Log_3,
millet,p_sup,1,FALSE,TRUE,Log_Log,Log_3
millet,p_onemonth,1,FALSE,TRUE,,
maize,p_sow,1,FALSE,TRUE,Log_Log,
maize,p_grow,1,FALSE,TRUE,Log_2,
maize,p_harv,1,FALSE,TRUE,Log_Log,
maize,p_sup,1,FALSE,TRUE,Log_2,
maize,p_onemonth,1,FALSE,TRUE,Log_2,Log_3
sorghum,p_sow,2,FALSE,TRUE,Log_2,
sorghum,p_grow,2,FALSE,TRUE,Log_3,
sorghum,p_harv,2,FALSE,TRUE,Log_2,Log_3
sorghum,p_sup,2,FALSE,TRUE,Log_Log,
sorghum,p_onemonth,2,FALSE,TRUE,Log_Log,
millet,p_sow,2,FALSE,TRUE,Log_3,
millet,p_grow,2,FALSE,TRUE,Log_2,
millet,p_harv,2,FALSE,TRUE,Log_3,
millet,p_sup,2,FALSE,TRUE,Log_Log,Log_3
millet,p_onemonth,2,FALSE,TRUE,Log_Linear,
maize,p_sow,2,FALSE,TRUE,Log_Log,
maize,p_grow,2,FALSE,TRUE,Log_2,
maize,p_harv,2,FALSE,TRUE,Log_Log,
maize,p_sup,2,FALSE,TRUE,Log_3,
maize,p_onemonth,2,FALSE,TRUE,Log_3,
sorghum,p_sow,0.25,FALSE,FALSE,Log_2,
sorghum,p_grow,0.25,FALSE,FALSE,Log_3,
sorghum,p_harv,0.25,FALSE,FALSE,Log_2,
sorghum,p_sup,0.25,FALSE,FALSE,Log_2,
sorghum,p_onemonth,0.25,FALSE,FALSE,Log_2,
millet,p_sow,0.25,FALSE,FALSE,Log_2,
millet,p_grow,0.25,FALSE,FALSE,Log_Linear,Log_2
millet,p_harv,0.25,FALSE,FALSE,Log_3,
millet,p_sup,0.25,FALSE,FALSE,Log_Log,
millet,p_onemonth,0.25,FALSE,FALSE,Log_Log,Log_3
maize,p_sow,0.25,FALSE,FALSE,Log_Log,
maize,p_grow,0.25,FALSE,FALSE,Log_Log,
maize,p_harv,0.25,FALSE,FALSE,Log_Log,
maize,p_sup,0.25,FALSE,FALSE,Log_2,
maize,p_onemonth,0.25,FALSE,FALSE,Log_2,
sorghum,p_sow,1,FALSE,FALSE,Log_3,
sorghum,p_grow,1,FALSE,FALSE,Log_3,
sorghum,p_harv,1,FALSE,FALSE,Log_2,
sorghum,p_sup,1,FALSE,FALSE,Log_3,
sorghum,p_onemonth,1,FALSE,FALSE,Log_2,
millet,p_sow,1,FALSE,FALSE,Log_3,
millet,p_grow,1,FALSE,FALSE,Log_2,
