Grain,Time Period,Linear_AIC,Linear_Pvals,2_AIC,2_Pvals,3_AIC,3_Pvals,Log_AIC,Log_Pvals,Log_Linear_AIC,Log_Linear_Pvals,Log_2_AIC,Log_2_Pvals,Log_3_AIC,Log_3_Pvals,Log_Log_AIC,Log_Log_Pvals,"rep(buf, nrow(final))",,Mins ,2nd Smallest,Dif ,,,,
sorghum,p_sow,19140.32371,TRUE,18994.35357,TRUE,18784.44573,TRUE,19527.0985,TRUE,141.900876,TRUE,137.8772966,TRUE,-160.2802391,TRUE,547.9713013,TRUE,0.25,,-160.2802391,137.8772966,-298.1575357,0.00,,Log_3,
sorghum,p_grow,18223.09877,TRUE,18210.48956,TRUE,17944.17861,TRUE,18393.59361,TRUE,672.520891,TRUE,628.857876,TRUE,321.838532,TRUE,680.0738798,TRUE,0.25,,321.838532,628.857876,-307.019344,0.00,,Log_3,
sorghum,p_harv,17220.56151,TRUE,17125.79004,TRUE,16936.06772,TRUE,17110.93787,TRUE,407.9032904,TRUE,245.4733947,TRUE,81.03784765,TRUE,184.8709737,TRUE,0.25,,81.03784765,184.8709737,-103.8331261,0.00,,Log_3,
sorghum,p_sup,20126.63344,FALSE,20100.85821,TRUE,20082.2264,TRUE,20109.42066,TRUE,847.195682,TRUE,831.3071798,TRUE,774.7303008,TRUE,813.4681516,TRUE,0.25,,774.7303008,813.4681516,-38.73785076,0.00,,Log_3,
sorghum,p_onemonth,21258.42439,TRUE,21260.42358,FALSE,21236.19183,TRUE,21244.14292,TRUE,904.3341967,FALSE,882.5740416,TRUE,838.189453,TRUE,851.4257827,TRUE,0.25,,838.189453,851.4257827,-13.23632974,0.13,,Log_3,
millet,p_sow,15514.74139,TRUE,15500.96444,TRUE,15501.41772,FALSE,15530.72655,TRUE,-1186.483993,TRUE,-1265.472335,TRUE,-1263.479005,FALSE,-1164.472743,TRUE,0.25,,-1265.472335,-1263.479005,-1.993329497,36.91,,Log_2,
millet,p_grow,19723.92101,TRUE,19725.63858,FALSE,19726.14851,FALSE,19732.9338,FALSE,-1151.590391,TRUE,-1157.752503,TRUE,-1155.770583,FALSE,-1114.994018,TRUE,0.25,,-1157.752503,-1155.770583,-1.981919554,37.12,,Log_2,
millet,p_harv,19281.01005,TRUE,19279.97236,FALSE,19279.39552,FALSE,19273.78543,TRUE,-1010.215626,TRUE,-1039.230212,TRUE,-1051.049279,TRUE,-1097.839329,TRUE,0.25,,-1097.839329,-1051.049279,-46.79004995,0.00,,Log_Log,
millet,p_sup,22037.49591,TRUE,22032.27769,TRUE,22008.40427,TRUE,22062.63907,TRUE,-974.132062,TRUE,-984.3525219,TRUE,-1015.981235,TRUE,-977.306701,TRUE,0.25,,-1015.981235,-984.3525219,-31.62871301,0.00,,Log_3,
millet,p_onemonth,21623.1163,FALSE,21620.72432,FALSE,21611.34471,TRUE,21617.90058,TRUE,-963.9003855,FALSE,-966.9335839,TRUE,-971.3850734,TRUE,-961.1732329,FALSE,0.25,,-971.3850734,-966.9335839,-4.451489471,10.80,,Log_3,Log_2
maize,p_sow,38280.35133,TRUE,38142.30628,TRUE,38130.42339,FALSE,38188.14737,TRUE,-5689.176523,TRUE,-5758.368679,TRUE,-5758.351807,FALSE,-5707.288061,TRUE,0.25,,-5758.368679,-5758.351807,-0.01687267,99.16,,Log_2,
maize,p_grow,38224.23848,FALSE,38170.75407,TRUE,38172.64557,FALSE,38223.00581,FALSE,-6277.681916,TRUE,-6354.643888,TRUE,-6357.563542,FALSE,-6307.372955,TRUE,0.25,,-6354.643888,-6307.372955,-47.27093329,0.00,,Log_2,
maize,p_harv,41477.56498,TRUE,41478.21624,FALSE,41423.77483,TRUE,41460.70653,TRUE,-6169.397411,TRUE,-6181.538461,FALSE,-6237.446634,TRUE,-6204.919647,TRUE,0.25,,-6237.446634,-6204.919647,-32.52698678,0.00,,Log_3,
maize,p_sup,46236.43753,TRUE,46236.92973,FALSE,46232.99868,TRUE,46242.70729,FALSE,-6877.283437,TRUE,-6875.591637,FALSE,-6875.193124,FALSE,-6865.898994,FALSE,0.25,,-6877.283437,-6875.591637,-1.691800055,42.92,,Log_Linear,
maize,p_onemonth,51714.27594,TRUE,51716.21993,FALSE,51705.88069,TRUE,51718.38433,FALSE,-7161.045028,FALSE,-7171.896794,TRUE,-7193.893817,TRUE,-7167.118524,TRUE,0.25,,-7193.893817,-7171.896794,-21.99702353,0.00,,Log_3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
sorghum,p_sow,19109.98647,TRUE,18878.56356,TRUE,18803.35834,TRUE,19537.26107,TRUE,138.9151748,TRUE,121.5050673,TRUE,-4.605633303,TRUE,530.0724407,TRUE,1,,-4.605633303,121.5050673,-126.1107006,0.00,,Log_3,
sorghum,p_grow,18212.35572,TRUE,18213.61593,FALSE,18180.10933,TRUE,18379.84524,TRUE,664.4647772,TRUE,665.1180392,FALSE,660.2456538,TRUE,668.9348563,TRUE,1,,660.2456538,664.4647772,-4.219123385,12.13,,,
sorghum,p_harv,17223.00926,FALSE,17180.48567,TRUE,16994.55839,TRUE,17181.06607,TRUE,405.384217,TRUE,300.2671147,TRUE,87.44648987,TRUE,276.1110344,TRUE,1,,87.44648987,276.1110344,-188.6645445,0.00,,,
sorghum,p_sup,20122.01169,TRUE,20099.49346,TRUE,20081.0721,TRUE,20107.15067,TRUE,837.8400779,TRUE,826.5116663,FALSE,776.9969902,TRUE,797.209149,TRUE,1,,776.9969902,797.209149,-20.21215879,0.00,,,
sorghum,p_onemonth,21263.23016,FALSE,21265.21078,FALSE,21217.82308,TRUE,21239.93928,TRUE,899.328734,TRUE,884.8112175,TRUE,801.9415502,TRUE,838.5652705,TRUE,1,,801.9415502,838.5652705,-36.62372037,0.00,,,
millet,p_sow,15522.6205,TRUE,15519.6421,TRUE,15520.91605,FALSE,15540.81547,TRUE,-1201.833,TRUE,-1246.196765,TRUE,-1244.798945,FALSE,-1159.254622,TRUE,1,,-1246.196765,-1201.833,-44.36376557,0.00,,,
millet,p_grow,19724.19622,TRUE,19725.58634,FALSE,19721.31918,TRUE,19732.86132,FALSE,-1141.928957,TRUE,-1148.652286,TRUE,-1165.028699,TRUE,-1113.911218,TRUE,1,,-1165.028699,-1148.652286,-16.37641307,0.03,,,
millet,p_harv,19255.15138,TRUE,19252.78027,TRUE,19248.14019,TRUE,19257.58722,TRUE,-1043.001793,TRUE,-1085.853133,TRUE,-1111.958202,TRUE,-1155.578523,TRUE,1,,-1155.578523,-1111.958202,-43.62032057,0.00,,,
millet,p_sup,22030.50182,TRUE,22027.08327,TRUE,22006.17902,TRUE,22056.07638,TRUE,-974.093715,TRUE,-983.3400737,TRUE,-1014.587918,TRUE,-986.9695036,TRUE,1,,-1014.587918,-983.3400737,-31.24784432,0.00,,,
millet,p_onemonth,21622.78825,FALSE,21619.50425,TRUE,21615.32586,TRUE,21620.26212,FALSE,-964.7785359,FALSE,-968.7241231,TRUE,-969.0298312,FALSE,-961.0035766,FALSE,1,,-968.7241231,-964.7785359,-3.945587204,13.91,,,
