Grain,Time Period,Linear_AIC,Linear_Pvals,2_AIC,2_Pvals,3_AIC,3_Pvals,Log_AIC,Log_Pvals,Log_Linear_AIC,Log_Linear_Pvals,Log_2_AIC,Log_2_Pvals,Log_3_AIC,Log_3_Pvals,Log_Log_AIC,Log_Log_Pvals,"rep(buf, nrow(final))",,Min,2nd Smallest,Dif,% 2nd is better,,1st Choice,
sorghum,p_sow,15809.59365,TRUE,15739.82891,TRUE,15646.7802,TRUE,15986.00941,TRUE,-63.70193508,TRUE,-61.70767184,FALSE,-224.4525613,TRUE,106.0249059,TRUE,0.25,,-224.4525613,-63.70193508,-160.7506262,0.00,,Log_3,
sorghum,p_grow,14981.20185,TRUE,14975.09785,TRUE,14769.50591,TRUE,15100.2532,TRUE,430.2107051,TRUE,410.0145133,TRUE,129.1832931,TRUE,447.6127827,FALSE,0.25,,129.1832931,410.0145133,-280.8312202,0.00,,Log_3,
sorghum,p_harv,13671.67072,TRUE,13638.75908,TRUE,13598.15793,TRUE,13643.22545,TRUE,137.1319006,FALSE,94.71442702,TRUE,72.78659905,TRUE,82.01880516,TRUE,0.25,,72.78659905,82.01880516,-9.232206114,0.99,,Log_3,
sorghum,p_sup,16279.59276,FALSE,16250.15147,TRUE,16248.80503,FALSE,16267.41354,TRUE,562.9984119,FALSE,489.8389131,TRUE,465.5485128,TRUE,493.7989511,TRUE,0.25,,465.5485128,489.8389131,-24.29040029,0.00,,Log_3,
sorghum,p_onemonth,16449.52071,FALSE,16451.39648,FALSE,16439.39953,TRUE,16438.24702,TRUE,593.5623763,FALSE,555.9844779,TRUE,526.3932568,TRUE,526.1376475,TRUE,0.25,,526.1376475,526.3932568,-0.255609256,88.00,,Log_Log,
millet,p_sow,10704.54126,TRUE,10695.02176,TRUE,10692.2162,FALSE,10683.62964,TRUE,-895.6739191,TRUE,-931.4720524,TRUE,-931.5180872,FALSE,-948.1103234,TRUE,0.25,,-948.1103234,-931.5180872,-16.5922362,0.02,,Log_Log,
millet,p_grow,13277.21646,FALSE,13275.39961,FALSE,13272.25497,FALSE,13278.23758,FALSE,-1014.589876,TRUE,-1012.802643,FALSE,-1010.866273,FALSE,-1002.676076,TRUE,0.25,,-1014.589876,-1012.802643,-1.787232506,40.92,,Log_Linear,
millet,p_harv,12095.51096,TRUE,12095.31936,FALSE,12071.53037,TRUE,12037.24706,TRUE,-1052.859576,TRUE,-1050.960282,FALSE,-1074.378097,TRUE,-1176.269144,TRUE,0.25,,-1176.269144,-1074.378097,-101.8910472,0.00,,Log_Log,
millet,p_sup,14546.0866,TRUE,14536.08675,TRUE,14516.25096,TRUE,14506.8046,TRUE,-909.6493542,TRUE,-931.1706657,TRUE,-951.6236971,TRUE,-960.6383456,TRUE,0.25,,-960.6383456,-951.6236971,-9.014648571,1.10,,Log_Log,
millet,p_onemonth,12751.60721,FALSE,12748.88286,FALSE,12728.02209,TRUE,12748.6308,FALSE,-798.7853695,FALSE,-810.2592815,TRUE,-828.1489327,TRUE,-810.2206368,TRUE,0.25,,-828.1489327,-810.2592815,-17.88965123,0.01,,Log_3,
maize,p_sow,26417.31221,TRUE,26336.07669,TRUE,26324.11238,TRUE,26363.71196,TRUE,-3848.238584,TRUE,-3884.884639,TRUE,-3891.396948,FALSE,-3844.307956,TRUE,0.25,,-3884.884639,-3848.238584,-36.64605418,0.00,,Log_2,
