"","grain","time_period","log_linear","ll_pvals","log_2","l2_pvals","log_3","l3_pvals","log_log","lg_pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2659.44228882194","TRUE","-2823.36339102497","TRUE","-2837.95873556195","FALSE","-2397.50569635912","TRUE",3
"2","sorghum","p_grow","-2181.14873589826","TRUE","-2261.73756570168","TRUE","-2259.92640969914","FALSE","-2216.15443743547","TRUE",3
"3","sorghum","p_harv","-2245.92556468147","TRUE","-2363.89901597017","TRUE","-2362.57437734942","FALSE","-2336.56519575135","TRUE",3
"4","sorghum","p_sup","-2176.53651317736","TRUE","-2199.29747273399","TRUE","-2199.37780984658","FALSE","-2191.03088789552","TRUE",3
"5","sorghum","p_onemonth","-2147.4316709297","TRUE","-2202.46537279406","TRUE","-2205.81644603235","FALSE","-2186.79245977671","TRUE",3
"6","millet","p_sow","-2761.33415694297","TRUE","-3102.66192673648","TRUE","-3117.90063554291","TRUE","-2913.63693780556","TRUE",3
"7","millet","p_grow","-2771.02158674804","TRUE","-2769.04568481455","FALSE","-2807.56838160444","TRUE","-2757.99129099923","FALSE",3
"8","millet","p_harv","-2761.11555570135","TRUE","-2764.68099039693","FALSE","-2762.73944281192","FALSE","-2762.4243950471","TRUE",3
"9","millet","p_sup","-2761.50159785192","TRUE","-2761.41557349938","FALSE","-2764.23925661644","FALSE","-2757.01599962028","FALSE",3
"10","millet","p_onemonth","-2758.96834255562","FALSE","-2761.12394436654","FALSE","-2767.45214635894","FALSE","-2757.10970001651","FALSE",3
"11","maize","p_sow","-6077.76495648337","TRUE","-6417.08292949174","TRUE","-6633.86121654654","FALSE","-6110.82093069109","TRUE",3
"12","maize","p_grow","-5727.6168825399","FALSE","-5819.16134650856","TRUE","-5986.92672647735","TRUE","-5733.19276766623","TRUE",3
"13","maize","p_harv","-5730.6927480177","FALSE","-5796.17348263659","TRUE","-5878.57922334555","TRUE","-5751.59011653943","TRUE",3
"14","maize","p_sup","-5755.58354197016","TRUE","-5895.48342629878","TRUE","-5903.81000516882","TRUE","-5804.36830857729","TRUE",3
"15","maize","p_onemonth","-5727.67306986899","FALSE","-5787.4051316386","TRUE","-5797.89263625761","TRUE","-5761.67681103533","TRUE",3
"16","sorghum","p_sow","-2440.31782047028","TRUE","-2621.50626042108","TRUE","-2728.18547159473","FALSE","-2122.48150098746","TRUE",4
"17","sorghum","p_grow","-1903.18059618342","TRUE","-1971.21038165385","TRUE","-1977.90181561032","FALSE","-1938.91045309567","TRUE",4
"18","sorghum","p_harv","-1996.06467283865","TRUE","-2113.01517981866","TRUE","-2111.67204068182","FALSE","-2087.49029179859","TRUE",4
"19","sorghum","p_sup","-1899.72390718608","TRUE","-1909.33068799644","TRUE","-1909.25047550978","FALSE","-1921.45957815584","TRUE",4
"20","sorghum","p_onemonth","-1862.74347257244","TRUE","-1939.87250340465","TRUE","-1940.49006241998","FALSE","-1922.94141306191","TRUE",4
"21","millet","p_sow","-2834.3162849658","TRUE","-3303.63678091976","TRUE","-3310.51470030764","TRUE","-3000.31490598736","TRUE",4
"22","millet","p_grow","-2847.76280890806","TRUE","-2847.13706648842","FALSE","-2890.2393253693","TRUE","-2830.66800323662","FALSE",4
"23","millet","p_harv","-2833.52318301913","TRUE","-2834.12192404137","FALSE","-2832.28773303819","FALSE","-2836.62671829776","TRUE",4
"24","millet","p_sup","-2834.00508394296","TRUE","-2835.42944547231","FALSE","-2834.9254303862","FALSE","-2829.21893761883","FALSE",4
"25","millet","p_onemonth","-2829.25885851193","FALSE","-2829.0197230443","FALSE","-2833.27227162822","FALSE","-2828.83154268778","FALSE",4
"26","maize","p_sow","-6294.59218389313","TRUE","-6532.89411678617","TRUE","-6841.38172272099","TRUE","-6287.00933428616","TRUE",4
"27","maize","p_grow","-5899.46934470005","FALSE","-6119.62248594467","TRUE","-6252.49817030449","TRUE","-5903.48878086082","TRUE",4
"28","maize","p_harv","-5904.58999002628","TRUE","-6014.76738790307","TRUE","-6081.62675678418","TRUE","-5925.37570290582","TRUE",4
"29","maize","p_sup","-5940.02456689039","TRUE","-6095.28453966713","TRUE","-6095.70192723452","FALSE","-5988.38228805535","TRUE",4
"30","maize","p_onemonth","-5898.36961570131","FALSE","-5960.60593108875","TRUE","-5967.77615578756","TRUE","-5935.84126168784","TRUE",4
"31","sorghum","p_sow","-2623.14293127417","TRUE","-2809.38705579788","TRUE","-3079.84079568872","TRUE","-2253.73121401553","TRUE",5
"32","sorghum","p_grow","-2020.27915881814","TRUE","-2081.93089667992","TRUE","-2105.0339409117","FALSE","-2062.007618758","TRUE",5
"33","sorghum","p_harv","-2130.77386522462","TRUE","-2256.03970898142","TRUE","-2261.69797926956","FALSE","-2230.45878816413","TRUE",5
"34","sorghum","p_sup","-2035.14639423925","TRUE","-2052.77645783174","TRUE","-2051.12081078089","FALSE","-2072.8944732944","TRUE",5
"35","sorghum","p_onemonth","-1985.5850493434","TRUE","-2060.00473300469","TRUE","-2060.56465923881","FALSE","-2035.94622485237","TRUE",5
"36","millet","p_sow","-3145.93136177724","TRUE","-3726.7455973772","TRUE","-3728.61317280479","FALSE","-3322.19397068696","TRUE",5
"37","millet","p_grow","-3155.22388126775","TRUE","-3158.77256444465","FALSE","-3203.4191448341","TRUE","-3141.0785314458","FALSE",5
"38","millet","p_harv","-3142.96847425053","FALSE","-3141.2406615945","FALSE","-3140.43377531742","FALSE","-3148.20702222811","TRUE",5
"39","millet","p_sup","-3148.12365414359","TRUE","-3151.38227825525","FALSE","-3150.47754302972","FALSE","-3140.08899817043","FALSE",5
"40","millet","p_onemonth","-3140.1091773545","FALSE","-3138.15454418205","FALSE","-3137.79335737544","FALSE","-3140.00483142884","FALSE",5
"41","maize","p_sow","-7003.83155055628","TRUE","-7193.2980338219","TRUE","-7585.1358551664","TRUE","-6972.52116041103","TRUE",5
"42","maize","p_grow","-6550.32676144963","TRUE","-6933.23986387432","TRUE","-7014.77048815928","TRUE","-6549.04768698672","FALSE",5
"43","maize","p_harv","-6555.84472020629","TRUE","-6737.27893581068","TRUE","-6802.81418155724","TRUE","-6576.60205316456","TRUE",5
"44","maize","p_sup","-6605.68565321567","TRUE","-6753.27872384317","TRUE","-6751.49909172125","FALSE","-6636.29144583108","TRUE",5
"45","maize","p_onemonth","-6547.20932452154","FALSE","-6604.4987494692","TRUE","-6610.66808561986","TRUE","-6589.63565427319","TRUE",5
