"","Grain","Time Period","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2451.89386134145","TRUE","-2916.85451866012","TRUE","-2915.04483558619","FALSE","-2583.90526787837","TRUE",0.25
"2","sorghum","p_grow","-2014.37383978801","FALSE","-2226.16864453174","TRUE","-2310.39192417978","TRUE","-2043.46726729815","TRUE",0.25
"3","sorghum","p_harv","-2447.71769412681","TRUE","-2529.88602623262","TRUE","-2527.98595193207","FALSE","-2396.2007426522","TRUE",0.25
"4","sorghum","p_sup","-2040.43222450503","TRUE","-2057.28406666616","TRUE","-2072.11212102497","FALSE","-1996.10319950482","TRUE",0.25
"5","sorghum","p_onemonth","-1664.00306507071","FALSE","-1680.55939871213","TRUE","-1680.7568923566","FALSE","-1676.38054925033","TRUE",0.25
"6","millet","p_sow","-2765.75485931878","FALSE","-2814.2955766383","TRUE","-2813.93979306611","FALSE","-2772.01813606828","TRUE",0.25
"7","millet","p_grow","-2710.02868395411","TRUE","-2714.0144529175","TRUE","-2713.99875446439","FALSE","-2710.47419517062","TRUE",0.25
"8","millet","p_harv","-2816.83853334197","FALSE","-2850.48643926498","TRUE","-2875.86171342092","TRUE","-2844.89945226723","TRUE",0.25
"9","millet","p_sup","-2649.10843048464","TRUE","-2655.06870542954","FALSE","-2675.36255064352","TRUE","-2679.77918506147","TRUE",0.25
"10","millet","p_onemonth","-2350.95505928112","TRUE","-2348.97785801676","FALSE","-2357.8883410251","TRUE","-2356.94939720668","TRUE",0.25
"11","maize","p_sow","-4130.84188079589","TRUE","-4156.62434673765","TRUE","-4158.8909891503","TRUE","-4188.90067930987","TRUE",0.25
"12","maize","p_grow","-6070.42887175299","FALSE","-6068.56646101693","FALSE","-6072.49200669995","TRUE","-6083.07314633546","TRUE",0.25
"13","maize","p_harv","-4485.39413769705","TRUE","-4499.70236936118","TRUE","-4563.39547824443","TRUE","-4682.55645476355","TRUE",0.25
"14","maize","p_sup","-4872.11148538275","TRUE","-4957.89964769543","TRUE","-4956.63291423692","FALSE","-4928.32200687106","TRUE",0.25
"15","maize","p_onemonth","-4712.93645910397","FALSE","-4722.66844645831","TRUE","-4720.67049691283","FALSE","-4709.08408263226","FALSE",0.25
"16","sorghum","p_sow","-2600.14121488739","TRUE","-2863.2114599114","TRUE","-2898.92060016057","TRUE","-2689.86784683183","TRUE",1
"17","sorghum","p_grow","-2171.06094009257","FALSE","-2451.83382419863","TRUE","-2462.94633278523","TRUE","-2201.40791119176","TRUE",1
"18","sorghum","p_harv","-2583.12314030947","TRUE","-2713.32352245994","TRUE","-2711.66864219258","FALSE","-2556.64420350146","TRUE",1
"19","sorghum","p_sup","-2225.30579951463","TRUE","-2261.55153424671","TRUE","-2273.74250384533","TRUE","-2211.01786142873","TRUE",1
"20","sorghum","p_onemonth","-1877.53287160957","FALSE","-1903.09869676854","TRUE","-1904.37113691896","FALSE","-1898.920260267","TRUE",1
"21","millet","p_sow","-2808.93145963598","FALSE","-2866.62773948638","TRUE","-2871.57429712755","TRUE","-2819.59753982556","TRUE",1
"22","millet","p_grow","-2748.56071624794","TRUE","-2789.25800336835","TRUE","-2788.44042950787","FALSE","-2756.67182484643","TRUE",1
"23","millet","p_harv","-2868.72756545785","FALSE","-2923.70028634974","TRUE","-2958.12398720655","TRUE","-2903.33497306763","TRUE",1
"24","millet","p_sup","-2747.06811014178","TRUE","-2746.77475494254","FALSE","-2762.85519038021","TRUE","-2760.85053397602","TRUE",1
"25","millet","p_onemonth","-2433.34164427109","TRUE","-2431.83098147647","FALSE","-2440.63804868163","TRUE","-2432.41855498043","TRUE",1
"26","maize","p_sow","-4111.49397524568","TRUE","-4144.56397482936","TRUE","-4151.25638282329","TRUE","-4165.32210731198","TRUE",1
"27","maize","p_grow","-6083.19212011905","FALSE","-6145.41230009413","TRUE","-6143.51693213612","FALSE","-6116.24134274575","TRUE",1
"28","maize","p_harv","-4514.20055661519","TRUE","-4541.08373145699","TRUE","-4574.22673075213","TRUE","-4709.27076896211","TRUE",1
"29","maize","p_sup","-4897.90763259909","TRUE","-4981.48990300306","TRUE","-4984.36857387234","TRUE","-4947.24463998421","TRUE",1
"30","maize","p_onemonth","-4759.79531581605","FALSE","-4769.34813686417","TRUE","-4767.40439615745","FALSE","-4757.7619812658","FALSE",1
"31","sorghum","p_sow","-2894.92394010507","TRUE","-3133.61352351272","TRUE","-3152.80203112268","TRUE","-3051.67074524292","TRUE",2
"32","sorghum","p_grow","-2344.9847801314","FALSE","-2488.04554189409","TRUE","-2490.99654076949","TRUE","-2350.88917320442","TRUE",2
"33","sorghum","p_harv","-2702.29508136755","TRUE","-2836.28608253581","TRUE","-2835.09598240349","FALSE","-2751.70432336976","TRUE",2
"34","sorghum","p_sup","-2409.04559619372","TRUE","-2454.77097448849","TRUE","-2463.24145518188","FALSE","-2380.82758310135","TRUE",2
"35","sorghum","p_onemonth","-2052.22493649369","TRUE","-2093.20015562435","TRUE","-2091.82613815715","FALSE","-2076.46590042852","TRUE",2
"36","millet","p_sow","-2847.88134857988","TRUE","-2981.14008647633","TRUE","-3019.58257924601","TRUE","-2959.81869479623","TRUE",2
"37","millet","p_grow","-2861.23110206007","TRUE","-2897.5338593457","TRUE","-2896.81201428479","FALSE","-2856.62153797639","FALSE",2
