"","Grain","Time Period","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2711.55263649494","TRUE","-3309.85301572115","TRUE","-3340.92029519437","FALSE","-2793.14897908331","TRUE",0.25
"2","sorghum","p_grow","-2035.46890145395","TRUE","-2387.56631516162","TRUE","-2528.69509048846","TRUE","-2057.41700958042","TRUE",0.25
"3","sorghum","p_harv","-2371.96517308233","TRUE","-2511.09419457523","TRUE","-2509.27337039878","FALSE","-2353.45926611071","TRUE",0.25
"4","sorghum","p_sup","-2292.45362157016","TRUE","-2295.9028648163","TRUE","-2301.99384193593","FALSE","-2339.45965298998","TRUE",0.25
"5","sorghum","p_onemonth","-2018.01348271616","TRUE","-2070.53608605878","TRUE","-2073.72923665256","TRUE","-2061.8166847364","TRUE",0.25
"6","millet","p_sow","-3594.95504365377","FALSE","-3670.68503592761","TRUE","-3679.86701327471","TRUE","-3633.50952918844","TRUE",0.25
"7","millet","p_grow","-3470.46826398076","TRUE","-3480.05650412986","TRUE","-3480.92831149362","FALSE","-3472.88632701488","TRUE",0.25
"8","millet","p_harv","-3434.29860180477","FALSE","-3495.66107447899","TRUE","-3562.35219822288","TRUE","-3502.97629839832","TRUE",0.25
"9","millet","p_sup","-3372.3239873257","FALSE","-3375.84270986568","TRUE","-3382.85525834765","TRUE","-3378.32160261644","TRUE",0.25
"10","millet","p_onemonth","-3386.99502456674","FALSE","-3388.01890082885","FALSE","-3388.39249547706","FALSE","-3384.9339351983","FALSE",0.25
"11","maize","p_sow","-5864.27426455036","TRUE","-5903.78726830625","TRUE","-5906.40586691857","TRUE","-5981.75595137043","TRUE",0.25
"12","maize","p_grow","-8159.81749283684","FALSE","-8166.20274690969","TRUE","-8167.87600062042","FALSE","-8184.54981027843","TRUE",0.25
"13","maize","p_harv","-6423.58476822403","TRUE","-6446.21669378721","TRUE","-6497.58324100849","TRUE","-6632.90646229153","TRUE",0.25
"14","maize","p_sup","-6967.16423703977","TRUE","-7079.30378804861","TRUE","-7077.30845750803","FALSE","-6978.65528098691","TRUE",0.25
"15","maize","p_onemonth","-7434.17179559322","FALSE","-7472.09317679247","TRUE","-7475.80459799625","TRUE","-7447.45352536456","TRUE",0.25
