"","grain","time_period","log_linear","ll_pvals","log_2","l2_pvals","log_3","l3_pvals","log_log","lg_pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2803.86483534813","TRUE","-3068.23531616028","TRUE","-3145.56081625336","TRUE","-2343.56961351631","TRUE",3
"2","sorghum","p_grow","-1954.71233304187","TRUE","-2156.74445775773","TRUE","-2163.89160412263","TRUE","-2025.56291315592","TRUE",3
"3","sorghum","p_harv","-2020.61937695559","TRUE","-2099.8791763432","TRUE","-2100.92012354965","FALSE","-2113.35991874719","TRUE",3
"4","sorghum","p_sup","-1924.28484204113","TRUE","-1941.14873712875","TRUE","-1939.18191868606","FALSE","-2017.0095138028","TRUE",3
"5","sorghum","p_onemonth","-1905.47170609043","FALSE","-1999.02390445637","TRUE","-1997.67371034986","FALSE","-1999.16322639182","TRUE",3
"6","millet","p_sow","-3388.43401387596","TRUE","-3913.33897364889","TRUE","-3985.26440745674","TRUE","-3664.4021849527","TRUE",3
"7","millet","p_grow","-3402.18028172395","TRUE","-3400.64360472549","FALSE","-3480.49886119016","TRUE","-3381.66330913874","FALSE",3
"8","millet","p_harv","-3382.75929979435","FALSE","-3388.90384158968","TRUE","-3389.85813622289","FALSE","-3385.4773497517","TRUE",3
"9","millet","p_sup","-3381.82833386678","FALSE","-3382.11104897085","FALSE","-3383.03399580847","FALSE","-3383.9758167103","FALSE",3
"10","millet","p_onemonth","-3386.35895606358","TRUE","-3389.68239255896","FALSE","-3393.303902227","FALSE","-3381.23987059005","FALSE",3
"11","maize","p_sow","-7964.15226474014","TRUE","-8319.9915628819","TRUE","-8624.46904925324","TRUE","-7933.8887961678","TRUE",3
"12","maize","p_grow","-7447.04024840623","TRUE","-7568.58547293081","TRUE","-7745.26205232273","TRUE","-7423.60893037515","TRUE",3
"13","maize","p_harv","-7435.18611493359","TRUE","-7511.39091878018","TRUE","-7608.97230600817","TRUE","-7434.34938633759","TRUE",3
"14","maize","p_sup","-7453.85034073403","TRUE","-7592.30995654297","TRUE","-7592.96397284883","FALSE","-7464.53498176521","TRUE",3
"15","maize","p_onemonth","-7419.25272142882","FALSE","-7496.9675159504","TRUE","-7510.08135784715","TRUE","-7476.00354664684","TRUE",3
