"","grain","time_period","log_linear","ll_pvals","log_2","l2_pvals","log_3","l3_pvals","log_log","lg_pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2321.38130878446","FALSE","-2345.55675704353","TRUE","-2531.20360078371","TRUE","-2334.56708464757","TRUE",3
"2","sorghum","p_grow","-2270.76250181483","TRUE","-2295.56667636303","TRUE","-2304.48080620206","FALSE","-2291.5090524947","TRUE",3
"3","sorghum","p_harv","-2731.83190758366","TRUE","-2732.97446019939","FALSE","-2736.53714444336","FALSE","-2617.99157251373","TRUE",3
"4","sorghum","p_sup","-2349.9083213468","FALSE","-2372.46172606078","TRUE","-2444.44836842572","TRUE","-2378.78451265333","TRUE",3
"5","sorghum","p_onemonth","-1982.01388602919","TRUE","-2037.15190471318","TRUE","-2038.22117686367","FALSE","-2015.82541243799","TRUE",3
"6","millet","p_sow","-2926.43206419505","TRUE","-3069.97176870925","TRUE","-3085.41469522847","TRUE","-3037.68438379767","TRUE",3
"7","millet","p_grow","-2799.52695944576","FALSE","-2828.51626643198","TRUE","-2854.46265293299","TRUE","-2806.46606639417","TRUE",3
"8","millet","p_harv","-2861.62258996821","FALSE","-2875.85219912573","TRUE","-2914.71203562978","TRUE","-2875.01255751449","TRUE",3
"9","millet","p_sup","-2827.55024008777","FALSE","-2828.7307143149","FALSE","-2830.09265684808","FALSE","-2827.188331721","FALSE",3
"10","millet","p_onemonth","-2459.45498234928","FALSE","-2462.28649046017","FALSE","-2469.46510584226","TRUE","-2455.91809818262","FALSE",3
"11","maize","p_sow","-4255.01150689816","TRUE","-4465.19734784713","TRUE","-4564.70341783298","FALSE","-4314.07223549422","TRUE",3
"12","maize","p_grow","-6396.44461019669","TRUE","-6396.15889304126","FALSE","-6695.34802358346","TRUE","-6393.98578044775","TRUE",3
"13","maize","p_harv","-4769.03275997044","TRUE","-4778.19441763003","TRUE","-4781.61645844991","TRUE","-4822.32720724272","TRUE",3
"14","maize","p_sup","-5178.60325517662","TRUE","-5197.47264621809","TRUE","-5261.99634318527","TRUE","-5247.13920545935","TRUE",3
"15","maize","p_onemonth","-4992.22058053257","TRUE","-5023.64907676466","TRUE","-5026.43679546201","TRUE","-4979.18008791653","FALSE",3
"16","sorghum","p_sow","-2041.84901646642","TRUE","-2097.54485240633","TRUE","-2186.3826710673","TRUE","-2017.430559023","FALSE",4
"17","sorghum","p_grow","-1986.88594243078","TRUE","-1991.76461588283","FALSE","-2072.34908054077","TRUE","-2046.10559655461","TRUE",4
"18","sorghum","p_harv","-2375.56700154985","TRUE","-2375.98905046057","FALSE","-2376.59376601407","FALSE","-2364.6693553627","TRUE",4
"19","sorghum","p_sup","-2186.15813422596","FALSE","-2214.88598610919","TRUE","-2281.81020632125","TRUE","-2216.54006519673","TRUE",4
"20","sorghum","p_onemonth","-1670.62515357039","FALSE","-1750.51330798863","TRUE","-1748.89533975779","FALSE","-1755.80627388366","TRUE",4
"21","millet","p_sow","-3016.18924719892","TRUE","-3202.92929323966","TRUE","-3218.40176000476","TRUE","-3137.76354964996","TRUE",4
"22","millet","p_grow","-2860.92267111955","FALSE","-2873.89491491714","TRUE","-2949.82061171808","TRUE","-2881.22971576163","TRUE",4
"23","millet","p_harv","-2930.60391809319","FALSE","-2928.89590219185","FALSE","-2948.98722404299","TRUE","-2928.29976686552","FALSE",4
"24","millet","p_sup","-2840.5062015446","FALSE","-2841.167360091","FALSE","-2841.13412290352","FALSE","-2842.45646967975","FALSE",4
"25","millet","p_onemonth","-2549.52955770713","FALSE","-2549.92686085849","FALSE","-2554.6571599806","FALSE","-2548.76178254292","FALSE",4
"26","maize","p_sow","-4388.62709949596","TRUE","-4549.95254466288","TRUE","-4702.55976230732","TRUE","-4421.88675396843","TRUE",4
"27","maize","p_grow","-6561.29311691782","TRUE","-6592.53640419897","TRUE","-7015.77116692502","TRUE","-6534.46762226614","TRUE",4
"28","maize","p_harv","-4903.61131267914","TRUE","-4951.27906411924","TRUE","-5085.1354199291","TRUE","-5049.51990666069","TRUE",4
"29","maize","p_sup","-5332.65844132921","TRUE","-5345.57845712954","TRUE","-5409.90947103302","TRUE","-5393.93914616265","TRUE",4
"30","maize","p_onemonth","-5244.85359279963","TRUE","-5280.02151083134","TRUE","-5280.54752064244","FALSE","-5234.67818494394","FALSE",4
"31","sorghum","p_sow","-2206.38651658487","TRUE","-2298.56200551178","TRUE","-2309.91779492331","TRUE","-2171.37277422961","TRUE",5
"32","sorghum","p_grow","-2166.12626749629","TRUE","-2166.41481202804","FALSE","-2407.29466649842","TRUE","-2267.20853043448","TRUE",5
"33","sorghum","p_harv","-2489.86419932165","TRUE","-2488.49382758744","FALSE","-2523.22425442533","TRUE","-2477.11625939348","FALSE",5
"34","sorghum","p_sup","-2462.62837959078","FALSE","-2521.30204565044","TRUE","-2600.44125419678","TRUE","-2505.26003204245","TRUE",5
"35","sorghum","p_onemonth","-1862.85171484172","TRUE","-1947.09691147484","TRUE","-1945.39920751416","FALSE","-1936.90372476383","TRUE",5
"36","millet","p_sow","-3355.09705558918","TRUE","-3589.74897241927","TRUE","-3615.60970811404","TRUE","-3508.16967141094","TRUE",5
"37","millet","p_grow","-3195.18774684316","FALSE","-3197.46035926195","FALSE","-3295.86399444571","TRUE","-3220.08187879191","TRUE",5
"38","millet","p_harv","-3284.06380412192","FALSE","-3283.12471444573","FALSE","-3297.41540084099","TRUE","-3283.89368772356","FALSE",5
"39","millet","p_sup","-3138.51479829377","FALSE","-3142.93193046785","TRUE","-3140.93264458329","FALSE","-3139.34863563174","FALSE",5
"40","millet","p_onemonth","-2901.88654211804","FALSE","-2899.98211710049","FALSE","-2899.65209505291","FALSE","-2901.62996632225","FALSE",5
"41","maize","p_sow","-4953.70648364343","TRUE","-5083.69787871346","TRUE","-5344.784428109","TRUE","-4969.15829948539","TRUE",5
"42","maize","p_grow","-7300.73459132837","TRUE","-7399.06645926933","TRUE","-7861.30137348565","TRUE","-7235.64024785629","TRUE",5
"43","maize","p_harv","-5486.64022753441","TRUE","-5493.37596858167","TRUE","-5503.6366577159","TRUE","-5484.88668834671","TRUE",5
