"","grain","time_period","log_linear","ll_pvals","log_2","l2_pvals","log_3","l3_pvals","log_log","lg_pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2068.80094922956","FALSE","-2137.17762852778","TRUE","-2311.00959516892","TRUE","-2098.80684501531","TRUE",3
"2","sorghum","p_grow","-2055.18412275213","TRUE","-2142.96882570563","TRUE","-2145.52107142476","TRUE","-2052.48820347487","TRUE",3
"3","sorghum","p_harv","-2332.2972844534","FALSE","-2368.06457322033","TRUE","-2372.93819051547","TRUE","-2356.41056398188","TRUE",3
"4","sorghum","p_sup","-2280.60789057157","TRUE","-2296.23975571518","FALSE","-2448.82638298288","TRUE","-2311.58192924777","TRUE",3
"5","sorghum","p_onemonth","-2013.9602390625","FALSE","-2114.94008704139","TRUE","-2112.94302777504","FALSE","-2130.24077780388","TRUE",3
"6","millet","p_sow","-3711.44878430397","TRUE","-3862.81643526699","TRUE","-3887.5851311203","TRUE","-3844.13411041358","TRUE",3
"7","millet","p_grow","-3458.14387579708","TRUE","-3504.36438887886","TRUE","-3507.43192149578","FALSE","-3470.09547304009","TRUE",3
"8","millet","p_harv","-3434.36751705265","FALSE","-3469.1540829263","TRUE","-3506.46365213271","TRUE","-3476.27635648089","TRUE",3
"9","millet","p_sup","-3372.59664792678","FALSE","-3384.59076127522","TRUE","-3386.58957046835","TRUE","-3394.08331452803","TRUE",3
"10","millet","p_onemonth","-3391.27024578766","TRUE","-3395.313065489","FALSE","-3399.33760189055","FALSE","-3384.91032519237","FALSE",3
"11","maize","p_sow","-5766.37944212943","TRUE","-6013.31610608354","TRUE","-6130.25607771759","FALSE","-5855.05856039132","TRUE",3
"12","maize","p_grow","-8216.79262129988","TRUE","-8217.8232604715","FALSE","-8534.54529628392","TRUE","-8161.21755558221","FALSE",3
"13","maize","p_harv","-6313.1431092255","FALSE","-6320.45603328316","TRUE","-6319.2999182191","FALSE","-6316.37391243798","TRUE",3
"14","maize","p_sup","-6930.91854378958","FALSE","-6929.00172059315","FALSE","-6944.86573200164","TRUE","-6955.54292421536","TRUE",3
"15","maize","p_onemonth","-7435.4703647849","FALSE","-7497.53024322588","TRUE","-7507.02423180358","TRUE","-7462.3550822667","TRUE",3
"16","sorghum","p_sow","-2074.36857307516","TRUE","-2180.6964999461","TRUE","-2251.65692564325","TRUE","-2076.6619938681","TRUE",4
"17","sorghum","p_grow","-2066.82113979499","TRUE","-2093.58498736588","TRUE","-2118.03323205312","TRUE","-2104.88330115225","TRUE",4
"18","sorghum","p_harv","-2331.802020553","FALSE","-2340.32977038223","TRUE","-2343.31228389284","TRUE","-2340.18625743845","TRUE",4
"19","sorghum","p_sup","-2283.08391559028","TRUE","-2309.56517658042","TRUE","-2440.24805303074","TRUE","-2299.50804315386","TRUE",4
"20","sorghum","p_onemonth","-2013.7051009611","FALSE","-2113.13708405201","TRUE","-2111.21487232815","FALSE","-2113.26768968688","TRUE",4
"21","millet","p_sow","-3735.00755260166","TRUE","-3960.814201691","TRUE","-4005.2240851661","TRUE","-3899.55771981804","TRUE",4
"22","millet","p_grow","-3457.85542141306","TRUE","-3485.25131487637","TRUE","-3526.53496968626","TRUE","-3485.73017575352","TRUE",4
"23","millet","p_harv","-3434.21650820437","FALSE","-3439.19179197167","TRUE","-3468.58565479547","TRUE","-3450.37427468323","TRUE",4
"24","millet","p_sup","-3373.80339934866","FALSE","-3389.97793377013","TRUE","-3395.12387436687","TRUE","-3395.51502656062","TRUE",4
"25","millet","p_onemonth","-3388.10718139431","FALSE","-3387.97805437636","FALSE","-3390.99749791919","FALSE","-3384.94046064755","FALSE",4
"26","maize","p_sow","-5754.35856090821","TRUE","-5941.81988779364","TRUE","-6104.38503352934","TRUE","-5810.96913980468","TRUE",4
"27","maize","p_grow","-8252.15982565868","TRUE","-8290.63872960511","TRUE","-8744.06792064404","TRUE","-8160.70728327628","FALSE",4
"28","maize","p_harv","-6311.40593734476","FALSE","-6320.84568595073","TRUE","-6319.76148940339","FALSE","-6316.26396180667","TRUE",4
"29","maize","p_sup","-6933.68210814792","FALSE","-6931.69131210833","FALSE","-6959.89259240462","TRUE","-6952.46010121732","TRUE",4
"30","maize","p_onemonth","-7436.00414608283","FALSE","-7491.96189840637","TRUE","-7497.51419919001","TRUE","-7456.72190334639","TRUE",4
"31","sorghum","p_sow","-2075.93760259579","TRUE","-2190.82392322925","TRUE","-2197.13950405071","TRUE","-2068.50095286167","FALSE",5
"32","sorghum","p_grow","-2099.3495598782","TRUE","-2097.47065470905","FALSE","-2262.39620885309","TRUE","-2184.02002488455","TRUE",5
"33","sorghum","p_harv","-2332.04610690007","FALSE","-2334.46146731982","TRUE","-2336.60544456437","TRUE","-2334.72987617712","FALSE",5
"34","sorghum","p_sup","-2278.12521861703","TRUE","-2319.91607363722","TRUE","-2433.52573722422","TRUE","-2293.78045472453","TRUE",5
"35","sorghum","p_onemonth","-2016.59362157672","FALSE","-2110.47037906876","TRUE","-2108.48229277502","FALSE","-2108.11173058387","TRUE",5
"36","millet","p_sow","-3767.11717130395","TRUE","-4058.65151239705","TRUE","-4109.47587168576","TRUE","-3946.1555443944","TRUE",5
"37","millet","p_grow","-3454.23799914936","TRUE","-3466.78172371084","TRUE","-3543.60975119272","TRUE","-3484.08052661911","TRUE",5
"38","millet","p_harv","-3434.77010930323","FALSE","-3432.78901604418","FALSE","-3443.31400877915","TRUE","-3436.38127824241","FALSE",5
"39","millet","p_sup","-3374.770410046","FALSE","-3394.78846520447","TRUE","-3400.52590820127","TRUE","-3392.93332653746","TRUE",5
"40","millet","p_onemonth","-3385.26344974889","FALSE","-3383.26964298846","FALSE","-3382.26470119426","FALSE","-3385.32861059066","FALSE",5
"41","maize","p_sow","-5745.03254678134","TRUE","-5890.91740245661","TRUE","-6141.78963579916","TRUE","-5772.1596367176","TRUE",5
"42","maize","p_grow","-8280.29740178798","TRUE","-8392.02236236539","TRUE","-8901.06549656258","TRUE","-8157.91442875454","FALSE",5
"43","maize","p_harv","-6311.97083361931","FALSE","-6333.6931267519","TRUE","-6341.54126504229","TRUE","-6339.32283013529","TRUE",5
"44","maize","p_sup","-6934.75480841751","TRUE","-6933.54449438642","FALSE","-6989.93956747981","TRUE","-6952.616310619","TRUE",5
"45","maize","p_onemonth","-7434.90552375964","FALSE","-7478.81165098764","TRUE","-7483.05438907082","TRUE","-7454.68072346969","TRUE",5
