,grain,time_period,log_linear,ll_pvals,log_2,l2_pvals,log_3,l3_pvals,log_log,lg_pvals,"rep(buf, nrow(final))",,,,,,
1,sorghum,p_sow,-2068.800949,FALSE,-2137.177629,TRUE,-2311.009595,TRUE,-2098.806845,TRUE,3,,-2311.009595,-2137.177629,-173.8319666,log_3,
2,sorghum,p_grow,-2055.184123,TRUE,-2142.968826,TRUE,-2145.521071,TRUE,-2052.488203,TRUE,3,,-2145.521071,-2142.968826,-2.552245719,log_2,log_3
3,sorghum,p_harv,-2332.297284,FALSE,-2368.064573,TRUE,-2372.938191,TRUE,-2356.410564,TRUE,3,,-2372.938191,-2368.064573,-4.873617295,log_3,
4,sorghum,p_sup,-2280.607891,TRUE,-2296.239756,FALSE,-2448.826383,TRUE,-2311.581929,TRUE,3,,-2448.826383,-2311.581929,-137.2444537,log_3,
5,sorghum,p_onemonth,-2013.960239,FALSE,-2114.940087,TRUE,-2112.943028,FALSE,-2130.240778,TRUE,3,,-2130.240778,-2114.940087,-15.30069076,log_log,
6,millet,p_sow,-3711.448784,TRUE,-3862.816435,TRUE,-3887.585131,TRUE,-3844.13411,TRUE,3,,-3887.585131,-3862.816435,-24.76869585,,
7,millet,p_grow,-3458.143876,TRUE,-3504.364389,TRUE,-3507.431921,FALSE,-3470.095473,TRUE,3,,-3507.431921,-3504.364389,-3.067532617,,
8,millet,p_harv,-3434.367517,FALSE,-3469.154083,TRUE,-3506.463652,TRUE,-3476.276356,TRUE,3,,-3506.463652,-3476.276356,-30.18729565,,
9,millet,p_sup,-3372.596648,FALSE,-3384.590761,TRUE,-3386.58957,TRUE,-3394.083315,TRUE,3,,-3394.083315,-3386.58957,-7.49374406,,
10,millet,p_onemonth,-3391.270246,TRUE,-3395.313065,FALSE,-3399.337602,FALSE,-3384.910325,FALSE,3,,-3399.337602,-3395.313065,-4.024536402,,
11,maize,p_sow,-5766.379442,TRUE,-6013.316106,TRUE,-6130.256078,FALSE,-5855.05856,TRUE,3,,-6130.256078,-6013.316106,-116.9399716,,
12,maize,p_grow,-8216.792621,TRUE,-8217.82326,FALSE,-8534.545296,TRUE,-8161.217556,FALSE,3,,-8534.545296,-8217.82326,-316.7220358,,
13,maize,p_harv,-6313.143109,FALSE,-6320.456033,TRUE,-6319.299918,FALSE,-6316.373912,TRUE,3,,-6320.456033,-6319.299918,-1.156115064,,
14,maize,p_sup,-6930.918544,FALSE,-6929.001721,FALSE,-6944.865732,TRUE,-6955.542924,TRUE,3,,-6955.542924,-6944.865732,-10.67719221,,
15,maize,p_onemonth,-7435.470365,FALSE,-7497.530243,TRUE,-7507.024232,TRUE,-7462.355082,TRUE,3,,-7507.024232,-7497.530243,-9.493988578,,
16,sorghum,p_sow,-2074.368573,TRUE,-2180.6965,TRUE,-2251.656926,TRUE,-2076.661994,TRUE,4,,-2251.656926,-2180.6965,-70.9604257,,
17,sorghum,p_grow,-2066.82114,TRUE,-2093.584987,TRUE,-2118.033232,TRUE,-2104.883301,TRUE,4,,-2118.033232,-2104.883301,-13.1499309,,
18,sorghum,p_harv,-2331.802021,FALSE,-2340.32977,TRUE,-2343.312284,TRUE,-2340.186257,TRUE,4,,-2343.312284,-2340.32977,-2.982513511,,
19,sorghum,p_sup,-2283.083916,TRUE,-2309.565177,TRUE,-2440.248053,TRUE,-2299.508043,TRUE,4,,-2440.248053,-2309.565177,-130.6828765,,
20,sorghum,p_onemonth,-2013.705101,FALSE,-2113.137084,TRUE,-2111.214872,FALSE,-2113.26769,TRUE,4,,-2113.26769,-2113.137084,-0.130605635,,
21,millet,p_sow,-3735.007553,TRUE,-3960.814202,TRUE,-4005.224085,TRUE,-3899.55772,TRUE,4,,-4005.224085,-3960.814202,-44.40988348,,
22,millet,p_grow,-3457.855421,TRUE,-3485.251315,TRUE,-3526.53497,TRUE,-3485.730176,TRUE,4,,-3526.53497,-3485.730176,-40.80479393,,
23,millet,p_harv,-3434.216508,FALSE,-3439.191792,TRUE,-3468.585655,TRUE,-3450.374275,TRUE,4,,-3468.585655,-3450.374275,-18.21138011,,
24,millet,p_sup,-3373.803399,FALSE,-3389.977934,TRUE,-3395.123874,TRUE,-3395.515027,TRUE,4,,-3395.515027,-3395.123874,-0.391152194,,
25,millet,p_onemonth,-3388.107181,FALSE,-3387.978054,FALSE,-3390.997498,FALSE,-3384.940461,FALSE,4,,-3390.997498,-3388.107181,-2.890316525,,
26,maize,p_sow,-5754.358561,TRUE,-5941.819888,TRUE,-6104.385034,TRUE,-5810.96914,TRUE,4,,-6104.385034,-5941.819888,-162.5651457,,
27,maize,p_grow,-8252.159826,TRUE,-8290.63873,TRUE,-8744.067921,TRUE,-8160.707283,FALSE,4,,-8744.067921,-8290.63873,-453.429191,,
28,maize,p_harv,-6311.405937,FALSE,-6320.845686,TRUE,-6319.761489,FALSE,-6316.263962,TRUE,4,,-6320.845686,-6319.761489,-1.084196547,,
29,maize,p_sup,-6933.682108,FALSE,-6931.691312,FALSE,-6959.892592,TRUE,-6952.460101,TRUE,4,,-6959.892592,-6952.460101,-7.432491187,,
30,maize,p_onemonth,-7436.004146,FALSE,-7491.961898,TRUE,-7497.514199,TRUE,-7456.721903,TRUE,4,,-7497.514199,-7491.961898,-5.552300784,,
31,sorghum,p_sow,-2075.937603,TRUE,-2190.823923,TRUE,-2197.139504,TRUE,-2068.500953,FALSE,5,,-2197.139504,-2190.823923,-6.315580821,,
32,sorghum,p_grow,-2099.34956,TRUE,-2097.470655,FALSE,-2262.396209,TRUE,-2184.020025,TRUE,5,,-2262.396209,-2184.020025,-78.37618397,,
33,sorghum,p_harv,-2332.046107,FALSE,-2334.461467,TRUE,-2336.605445,TRUE,-2334.729876,FALSE,5,,-2336.605445,-2334.729876,-1.875568387,,
