"","Grain","Time Period","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2142.09146711657","TRUE","-2144.13284499394","FALSE","-2224.35268172187","TRUE","-2160.38653882707","TRUE",0.25
"2","sorghum","p_grow","-2024.84421871089","TRUE","-2121.77214793798","TRUE","-2191.59429140905","TRUE","-2016.63360612571","FALSE",0.25
"3","sorghum","p_harv","-2474.82757553672","TRUE","-2542.54069489213","TRUE","-2541.03729022726","FALSE","-2361.2993498772","TRUE",0.25
"4","sorghum","p_sup","-1975.62777596002","FALSE","-1974.98085724785","FALSE","-2014.72903512042","TRUE","-1978.30834443889","FALSE",0.25
"5","sorghum","p_onemonth","-1662.96067069211","FALSE","-1683.83558979863","TRUE","-1683.37498287663","FALSE","-1672.0402270887","TRUE",0.25
"6","millet","p_sow","-2786.85156088559","TRUE","-2806.57755822687","TRUE","-2804.57768708661","FALSE","-2808.17880198668","TRUE",0.25
"7","millet","p_grow","-2690.32871169812","FALSE","-2716.6871311477","TRUE","-2714.89897062576","FALSE","-2698.34059713755","TRUE",0.25
"8","millet","p_harv","-2816.91902134101","FALSE","-2840.1451973383","TRUE","-2847.70806588413","TRUE","-2835.82397401159","TRUE",0.25
"9","millet","p_sup","-2659.68105169159","TRUE","-2714.72307604038","TRUE","-2712.74248417549","FALSE","-2725.8123009762","TRUE",0.25
"10","millet","p_onemonth","-2350.95505928112","TRUE","-2348.97785801676","FALSE","-2357.8883410251","TRUE","-2356.94939720668","TRUE",0.25
"11","maize","p_sow","-4085.91665708367","TRUE","-4203.88200777672","TRUE","-4205.08124585191","FALSE","-4195.88698952806","TRUE",0.25
"12","maize","p_grow","-6069.13559208541","FALSE","-6075.83792357062","TRUE","-6097.61602895996","TRUE","-6077.79252509664","TRUE",0.25
"13","maize","p_harv","-4454.63000522075","TRUE","-4456.10539617111","FALSE","-4464.64356792131","TRUE","-4445.52811172758","TRUE",0.25
"14","maize","p_sup","-4843.1174850145","TRUE","-4855.09361611085","TRUE","-4907.61933362525","TRUE","-4895.36913727603","TRUE",0.25
"15","maize","p_onemonth","-4717.29749281322","TRUE","-4739.67397165879","TRUE","-4739.0906346386","FALSE","-4709.1011778247","FALSE",0.25
"16","sorghum","p_sow","-2233.14520627628","FALSE","-2231.39507751639","FALSE","-2312.82570865214","TRUE","-2256.23112667602","TRUE",1
"17","sorghum","p_grow","-2186.19531211894","TRUE","-2315.20364161818","TRUE","-2333.86413562602","TRUE","-2172.42703424654","FALSE",1
"18","sorghum","p_harv","-2620.82665373034","TRUE","-2739.08903994236","TRUE","-2746.50667292871","TRUE","-2509.26246343499","TRUE",1
"19","sorghum","p_sup","-2171.3402072962","FALSE","-2173.9744158929","FALSE","-2262.30402646733","TRUE","-2187.43879863383","TRUE",1
"20","sorghum","p_onemonth","-1877.01262743536","FALSE","-1906.86739257754","TRUE","-1908.25035100899","FALSE","-1894.47301279239","TRUE",1
"21","millet","p_sow","-2846.29422450368","TRUE","-2859.92682771483","TRUE","-2858.16999197248","FALSE","-2858.88127920485","TRUE",1
"22","millet","p_grow","-2739.51801535517","FALSE","-2780.25985248033","TRUE","-2779.37973707468","FALSE","-2746.10914083579","TRUE",1
"23","millet","p_harv","-2869.12276111706","FALSE","-2907.30836275684","TRUE","-2925.24754675463","TRUE","-2889.02534432559","TRUE",1
"24","millet","p_sup","-2746.40712801221","TRUE","-2769.65912152619","TRUE","-2768.01904353359","FALSE","-2776.91441733555","TRUE",1
"25","millet","p_onemonth","-2433.34164427109","TRUE","-2431.83098147647","FALSE","-2440.63804868163","TRUE","-2432.41855498043","TRUE",1
"26","maize","p_sow","-4058.86135964732","TRUE","-4215.62204551474","TRUE","-4232.15906387327","FALSE","-4139.8367362279","TRUE",1
"27","maize","p_grow","-6081.86537193863","FALSE","-6080.37124242928","FALSE","-6176.83699115726","TRUE","-6109.3305248238","TRUE",1
"28","maize","p_harv","-4455.50516330482","TRUE","-4474.78626394058","TRUE","-4475.09988599131","FALSE","-4460.86998771068","TRUE",1
"29","maize","p_sup","-4874.4740087636","TRUE","-4880.47891709417","TRUE","-4930.13020422971","TRUE","-4908.22370787364","TRUE",1
"30","maize","p_onemonth","-4764.0644705686","TRUE","-4788.08108653487","TRUE","-4789.36580785223","FALSE","-4757.81895521014","FALSE",1
"31","sorghum","p_sow","-2406.68179143441","FALSE","-2409.54416383833","TRUE","-2603.13153994774","TRUE","-2429.76709656489","TRUE",2
"32","sorghum","p_grow","-2354.19851490746","TRUE","-2409.19813801412","TRUE","-2409.93529718795","FALSE","-2351.04000684049","TRUE",2
"33","sorghum","p_harv","-2765.24737359199","TRUE","-2869.09854498613","TRUE","-2889.46512240795","TRUE","-2711.39711328433","TRUE",2
