"","Grain","Time Period","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","-2113.95914079284","TRUE","-2116.9795599723","FALSE","-2138.51123346282","TRUE","-2080.67220992431","TRUE",0.25
"2","sorghum","p_grow","-2067.50014003835","TRUE","-2219.9266987191","TRUE","-2379.18633222392","TRUE","-2028.84377093886","FALSE",0.25
"3","sorghum","p_harv","-2403.87376045784","TRUE","-2528.65809375292","TRUE","-2541.74585216198","TRUE","-2369.93258189937","TRUE",0.25
"4","sorghum","p_sup","-2266.09165116357","TRUE","-2280.57178424055","TRUE","-2409.25683390047","TRUE","-2296.08101845812","TRUE",0.25
"5","sorghum","p_onemonth","-2017.44863559706","TRUE","-2076.25836931478","TRUE","-2079.19453604571","TRUE","-2057.25390397717","TRUE",0.25
"6","millet","p_sow","-3634.95238691422","TRUE","-3669.97593758808","TRUE","-3669.88844391122","FALSE","-3629.13283126285","TRUE",0.25
"7","millet","p_grow","-3445.58118531157","FALSE","-3472.44778566741","TRUE","-3474.47017043797","TRUE","-3445.32745057966","FALSE",0.25
"8","millet","p_harv","-3434.47080449498","FALSE","-3485.02987195047","TRUE","-3524.87363661141","TRUE","-3481.92835776755","TRUE",0.25
"9","millet","p_sup","-3372.13707165534","FALSE","-3389.90781720937","TRUE","-3389.07486643748","FALSE","-3389.68248971569","TRUE",0.25
"10","millet","p_onemonth","-3386.99502456674","FALSE","-3388.01890082885","FALSE","-3388.39249547706","FALSE","-3384.9339351983","FALSE",0.25
"11","maize","p_sow","-5774.39681141654","TRUE","-5945.52959458204","TRUE","-5952.48628183969","FALSE","-5899.56922713485","TRUE",0.25
"12","maize","p_grow","-8158.50554741479","FALSE","-8161.23354662138","TRUE","-8207.11935336862","TRUE","-8168.99601623775","TRUE",0.25
"13","maize","p_harv","-6311.38485448953","FALSE","-6312.29170430559","FALSE","-6326.52018494439","TRUE","-6406.35276345574","TRUE",0.25
