"","Grain","Time Period","Linear_AIC","Linear_Pvals","2_AIC","2_Pvals","3_AIC","3_Pvals","Log_AIC","Log_Pvals","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"1","sorghum","p_sow","105074.245491613","TRUE","105008.15100661","FALSE","104966.618416107","TRUE","105170.993249432","TRUE","-2142.09146711657","TRUE","-2144.13284499394","FALSE","-2224.35268172187","TRUE","-2160.38653882707","TRUE",0.25
"2","sorghum","p_grow","102348.405749012","TRUE","102295.245309509","TRUE","102286.437095934","TRUE","102303.107169922","TRUE","-2024.84421871089","TRUE","-2121.77214793798","TRUE","-2191.59429140905","TRUE","-2016.63360612571","FALSE",0.25
"3","sorghum","p_harv","99489.768834272","TRUE","99407.8113889002","TRUE","99400.3507037462","FALSE","99634.0495000042","FALSE","-2474.82757553672","TRUE","-2542.54069489213","TRUE","-2541.03729022726","FALSE","-2361.2993498772","TRUE",0.25
"4","sorghum","p_sup","102074.175409977","FALSE","102075.635219068","FALSE","102054.678932439","TRUE","102074.342159543","FALSE","-1975.62777596002","FALSE","-1974.98085724785","FALSE","-2014.72903512042","TRUE","-1978.30834443889","FALSE",0.25
"5","sorghum","p_onemonth","97374.4970197929","TRUE","97376.3245647826","FALSE","97377.2642459621","FALSE","97394.5530330095","FALSE","-1662.96067069211","FALSE","-1683.83558979863","TRUE","-1683.37498287663","FALSE","-1672.0402270887","TRUE",0.25
"6","millet","p_sow","36133.9105586257","TRUE","36132.8621530686","FALSE","36120.9119121448","TRUE","36172.1272073565","TRUE","-2786.85156088559","TRUE","-2806.57755822687","TRUE","-2804.57768708661","FALSE","-2808.17880198668","TRUE",0.25
"7","millet","p_grow","44502.7535908056","TRUE","44483.1897641786","TRUE","44464.7072260971","FALSE","44494.2454439253","TRUE","-2690.32871169812","FALSE","-2716.6871311477","TRUE","-2714.89897062576","FALSE","-2698.34059713755","TRUE",0.25
"8","millet","p_harv","43178.1875221126","TRUE","43125.4502424608","TRUE","43115.9046687583","FALSE","43199.0749972077","FALSE","-2816.91902134101","FALSE","-2840.1451973383","TRUE","-2847.70806588413","TRUE","-2835.82397401159","TRUE",0.25
"9","millet","p_sup","46406.0610118149","FALSE","46347.8603409724","TRUE","46347.974555432","FALSE","46360.4023283447","TRUE","-2659.68105169159","TRUE","-2714.72307604038","TRUE","-2712.74248417549","FALSE","-2725.8123009762","TRUE",0.25
"10","millet","p_onemonth","41729.6409522745","FALSE","41730.2381404646","FALSE","41729.6484330445","FALSE","41729.071721708","FALSE","-2350.95505928112","TRUE","-2348.97785801676","FALSE","-2357.8883410251","TRUE","-2356.94939720668","TRUE",0.25
"11","maize","p_sow","78743.365332876","TRUE","78668.121638868","TRUE","78653.7965587169","FALSE","78737.9273150216","TRUE","-4085.91665708367","TRUE","-4203.88200777672","TRUE","-4205.08124585191","FALSE","-4195.88698952806","TRUE",0.25
"12","maize","p_grow","83106.3771866842","TRUE","83071.6212964821","TRUE","83065.4715090225","FALSE","83113.3961614013","TRUE","-6069.13559208541","FALSE","-6075.83792357062","TRUE","-6097.61602895996","TRUE","-6077.79252509664","TRUE",0.25
"13","maize","p_harv","87992.8804561663","TRUE","87994.5813461108","FALSE","87995.3169639085","FALSE","88030.3326000135","TRUE","-4454.63000522075","TRUE","-4456.10539617111","FALSE","-4464.64356792131","TRUE","-4445.52811172758","TRUE",0.25
"14","maize","p_sup","92717.1345387838","TRUE","92718.1589138663","FALSE","92678.4848115363","TRUE","92707.132530644","TRUE","-4843.1174850145","TRUE","-4855.09361611085","TRUE","-4907.61933362525","TRUE","-4895.36913727603","TRUE",0.25
"15","maize","p_onemonth","90908.3813054321","FALSE","90909.7744466977","FALSE","90911.3759574505","FALSE","90908.0933207295","FALSE","-4717.29749281322","TRUE","-4739.67397165879","TRUE","-4739.0906346386","FALSE","-4709.1011778247","FALSE",0.25
"16","sorghum","p_sow","105043.23744326","TRUE","104870.20433156","TRUE","104707.312591266","TRUE","105112.144728472","TRUE","-2233.14520627628","FALSE","-2231.39507751639","FALSE","-2312.82570865214","TRUE","-2256.23112667602","TRUE",1
"17","sorghum","p_grow","102230.614927513","TRUE","102214.530852874","TRUE","102182.807381757","TRUE","102218.949456699","TRUE","-2186.19531211894","TRUE","-2315.20364161818","TRUE","-2333.86413562602","TRUE","-2172.42703424654","FALSE",1
"18","sorghum","p_harv","99426.9170638114","TRUE","99348.8150661983","TRUE","99349.545455417","FALSE","99537.4800418308","FALSE","-2620.82665373034","TRUE","-2739.08903994236","TRUE","-2746.50667292871","TRUE","-2509.26246343499","TRUE",1
"19","sorghum","p_sup","101807.787893238","FALSE","101809.767991449","FALSE","101759.690238411","TRUE","101808.377075379","FALSE","-2171.3402072962","FALSE","-2173.9744158929","FALSE","-2262.30402646733","TRUE","-2187.43879863383","TRUE",1
"20","sorghum","p_onemonth","96926.4944198728","TRUE","96928.4518743477","FALSE","96930.4487125224","FALSE","96942.4792877998","TRUE","-1877.01262743536","FALSE","-1906.86739257754","TRUE","-1908.25035100899","FALSE","-1894.47301279239","TRUE",1
"21","millet","p_sow","36185.5669697334","TRUE","36171.1673855586","FALSE","36166.6717102057","TRUE","36255.0638567459","TRUE","-2846.29422450368","TRUE","-2859.92682771483","TRUE","-2858.16999197248","FALSE","-2858.88127920485","TRUE",1
"22","millet","p_grow","44726.8090864384","TRUE","44713.2353529301","TRUE","44713.0916070129","FALSE","44719.5491496329","TRUE","-2739.51801535517","FALSE","-2780.25985248033","TRUE","-2779.37973707468","FALSE","-2746.10914083579","TRUE",1
"23","millet","p_harv","43321.5692434089","TRUE","43272.7845732509","TRUE","43271.517051833","FALSE","43342.6671041394","FALSE","-2869.12276111706","FALSE","-2907.30836275684","TRUE","-2925.24754675463","TRUE","-2889.02534432559","TRUE",1
"24","millet","p_sup","46474.5540933929","FALSE","46443.4405398472","TRUE","46443.844545831","FALSE","46453.0343617932","TRUE","-2746.40712801221","TRUE","-2769.65912152619","TRUE","-2768.01904353359","FALSE","-2776.91441733555","TRUE",1
"25","millet","p_onemonth","41813.6134020531","FALSE","41814.1529595846","FALSE","41816.0814708591","FALSE","41813.9046533977","FALSE","-2433.34164427109","TRUE","-2431.83098147647","FALSE","-2440.63804868163","TRUE","-2432.41855498043","TRUE",1
"26","maize","p_sow","78562.1120195577","TRUE","78445.8814523951","TRUE","78402.6049951783","FALSE","78577.1321962373","FALSE","-4058.86135964732","TRUE","-4215.62204551474","TRUE","-4232.15906387327","FALSE","-4139.8367362279","TRUE",1
"27","maize","p_grow","83236.6376031776","TRUE","83217.9182049854","TRUE","83203.7208718542","TRUE","83244.1871454093","TRUE","-6081.86537193863","FALSE","-6080.37124242928","FALSE","-6176.83699115726","TRUE","-6109.3305248238","TRUE",1
"28","maize","p_harv","88102.7070641705","TRUE","88104.0497464189","FALSE","88104.0650278946","FALSE","88146.3453834312","TRUE","-4455.50516330482","TRUE","-4474.78626394058","TRUE","-4475.09988599131","FALSE","-4460.86998771068","TRUE",1
"29","maize","p_sup","92409.462139704","TRUE","92410.6601913053","FALSE","92379.2302089274","TRUE","92408.3806995737","TRUE","-4874.4740087636","TRUE","-4880.47891709417","TRUE","-4930.13020422971","TRUE","-4908.22370787364","TRUE",1
"30","maize","p_onemonth","91006.2246024654","FALSE","91007.5914280857","FALSE","91005.1466407235","TRUE","91005.4793183044","FALSE","-4764.0644705686","TRUE","-4788.08108653487","TRUE","-4789.36580785223","FALSE","-4757.81895521014","FALSE",1
"31","sorghum","p_sow","107052.665122733","TRUE","106920.817409676","TRUE","106784.715197633","TRUE","107146.616105926","TRUE","-2406.68179143441","FALSE","-2409.54416383833","TRUE","-2603.13153994774","TRUE","-2429.76709656489","TRUE",2
"32","sorghum","p_grow","104307.373538965","TRUE","104308.945800603","FALSE","104187.049306207","TRUE","104368.727230328","TRUE","-2354.19851490746","TRUE","-2409.19813801412","TRUE","-2409.93529718795","FALSE","-2351.04000684049","TRUE",2
"33","sorghum","p_harv","101510.599304806","TRUE","101459.15629469","TRUE","101461.118584019","FALSE","101563.007092297","FALSE","-2765.24737359199","TRUE","-2869.09854498613","TRUE","-2889.46512240795","TRUE","-2711.39711328433","TRUE",2
"34","sorghum","p_sup","104080.829810684","FALSE","104080.462677544","FALSE","104045.450781265","TRUE","104080.732800896","FALSE","-2343.33998237178","FALSE","-2353.28673057206","TRUE","-2426.16476635141","TRUE","-2357.75701368546","TRUE",2
"35","sorghum","p_onemonth","98866.4672499281","TRUE","98868.1025211106","FALSE","98870.0593751861","FALSE","98893.7419873242","TRUE","-2049.97830873769","TRUE","-2092.60946319044","TRUE","-2093.01200055735","FALSE","-2069.36229585389","TRUE",2
"36","millet","p_sow","36800.6169863017","TRUE","36802.2612568226","FALSE","36798.6959928933","FALSE","36909.9649838223","TRUE","-2921.20726282391","TRUE","-2975.09880227305","TRUE","-2979.47869218981","TRUE","-2974.00797626547","TRUE",2
"37","millet","p_grow","45883.0611931159","TRUE","45863.4452398998","TRUE","45865.0494222215","FALSE","45897.2391532021","TRUE","-2853.93552991057","FALSE","-2898.59157049906","TRUE","-2899.28061825109","FALSE","-2854.06920486614","FALSE",2
"38","millet","p_harv","44570.077840198","TRUE","44535.8711389462","TRUE","44537.8653017729","FALSE","44580.8879334915","FALSE","-2987.04822490833","FALSE","-3019.06328779303","TRUE","-3054.71788328941","TRUE","-3017.7085186607","TRUE",2
"39","millet","p_sup","47807.6037852125","FALSE","47795.9975736744","TRUE","47797.0150013117","FALSE","47801.5813749392","TRUE","-2860.74187410937","FALSE","-2865.92130859669","TRUE","-2864.98335097675","FALSE","-2866.70303234659","TRUE",2
"40","millet","p_onemonth","43022.3049973134","FALSE","43024.0215640887","FALSE","43025.3361431877","FALSE","43022.7731958938","FALSE","-2486.71693458642","TRUE","-2487.19666968628","FALSE","-2496.79856314914","TRUE","-2483.51201166853","FALSE",2
"41","maize","p_sow","79960.1687154756","TRUE","79792.6617180819","TRUE","79713.3533728727","TRUE","79974.2323530663","FALSE","-4229.76895224924","TRUE","-4446.02521783721","TRUE","-4493.11726576849","FALSE","-4301.4151854748","TRUE",2
"42","maize","p_grow","84968.2854475692","TRUE","84934.7293902107","TRUE","84880.9453030883","TRUE","84964.2558831577","TRUE","-6315.87082966349","FALSE","-6316.18427894062","FALSE","-6510.68252499282","TRUE","-6342.48352646798","TRUE",2
"43","maize","p_harv","90027.3537036863","TRUE","90028.3054640568","FALSE","90030.0931427717","FALSE","90077.870675161","TRUE","-4730.48404796447","TRUE","-4738.65169292202","TRUE","-4749.7865804531","TRUE","-4721.92846041197","FALSE",2
"44","maize","p_sup","94625.395895945","TRUE","94622.8866462797","TRUE","94595.9162499834","TRUE","94627.7619657853","TRUE","-5147.12010776829","TRUE","-5160.51422378843","TRUE","-5213.68924941978","TRUE","-5175.32134471693","TRUE",2
"45","maize","p_onemonth","92993.5714580813","FALSE","92993.4639933103","FALSE","92985.9043770062","TRUE","92991.6702986383","FALSE","-4988.00822768815","TRUE","-5014.97536583515","TRUE","-5021.17003443187","TRUE","-4984.37167554424","FALSE",2
